id,district,type,bedrooms,bathrooms,created_at,size_m2,price_$,latitude,longitude
87,El Metn,Land,0,0,2025-03-16 14:47:25.672798+00,800,75000,33.9006,35.6178
88,Baabda,Land,0,0,2025-03-16 14:47:25.826607+00,950,320000,33.8333,35.5442
89,El Metn,Office,1,0,2025-03-16 14:47:25.950086+00,65,200000,33.9006,35.6178
90,Beirut,Apartment,3,2,2025-03-16 14:47:26.054451+00,200,600000,33.8886,35.4955
91,El Metn,Land,0,0,2025-03-16 14:47:26.185971+00,750,32000,33.9006,35.6178
92,Jbeil,Apartment,2,2,2025-03-16 14:47:26.342695+00,166,120000,34.1236,35.6455
93,Jbeil,Apartment,4,4,2025-03-16 14:47:26.440524+00,240,150000,34.1236,35.6455
94,El Metn,Office,1,0,2025-03-16 14:47:26.616451+00,80,175000,33.9006,35.6178
95,El Metn,Shop,2,0,2025-03-16 14:47:26.716789+00,121,120000,33.9006,35.6178
96,Kesrouane,Chalet,3,2,2025-03-16 14:47:26.814358+00,120,275000,33.9808,35.6856
97,El Metn,Land,0,0,2025-03-16 14:47:26.913619+00,774,619000,33.9006,35.6178
98,El Metn,Land,0,0,2025-03-16 14:47:27.009095+00,1050,840000,33.9006,35.6178
99,El Metn,House/Villa,3,3,2025-03-16 14:47:27.102935+00,155,380000,33.9006,35.6178
100,Kesrouane,Shop,2,0,2025-03-16 14:47:27.190713+00,400,700000,33.9808,35.6856
101,Beirut,Office,2,0,2025-03-16 14:47:27.298398+00,200,900000,33.8886,35.4955
102,Jbeil,Land,0,0,2025-03-16 14:47:27.416856+00,970,185000,34.1236,35.6455
103,Jbeil,Land,0,0,2025-03-16 14:47:27.511698+00,1055,195000,34.1236,35.6455
104,Baabda,Office,1,0,2025-03-16 14:47:27.611085+00,100,135000,33.8333,35.5442
105,Kesrouane,Land,0,0,2025-03-16 14:47:27.717555+00,1128,350000,33.9808,35.6856
106,Jbeil,Apartment,2,2,2025-03-16 14:47:27.865147+00,125,115000,34.1236,35.6455
107,El Metn,Apartment,3,4,2025-03-16 14:47:27.960882+00,200,360000,33.9006,35.6178
108,El Metn,Apartment,3,4,2025-03-16 14:47:28.118946+00,170,310000,33.9006,35.6178
109,El Metn,Apartment,3,3,2025-03-16 14:47:28.223323+00,161,280000,33.9006,35.6178
110,Kesrouane,Chalet,2,1,2025-03-16 14:47:28.315376+00,100,470000,33.9808,35.6856
111,El Metn,Apartment,4,5,2025-03-16 14:47:28.683576+00,525,1000000,33.9006,35.6178
112,El Metn,Apartment,3,3,2025-03-16 14:47:28.803405+00,142,199000,33.9006,35.6178
113,Jbeil,Office,1,0,2025-03-16 14:47:28.896223+00,45,65000,34.1236,35.6455
114,El Metn,Land,3,0,2025-03-16 14:47:29.051372+00,2335,2335000,33.9006,35.6178
115,El Metn,Warehouse,1,0,2025-03-16 14:47:29.1664+00,212,200000,33.9006,35.6178
116,Kesrouane,Land,0,0,2025-03-16 14:47:29.34718+00,1165,650000,33.9808,35.6856
117,Jbeil,Apartment,2,2,2025-03-16 14:47:29.522553+00,120,115000,34.1236,35.6455
118,Baabda,Shop,2,0,2025-03-16 14:47:29.616331+00,80,525000,33.8333,35.5442
119,Baabda,Shop,1,0,2025-03-16 14:47:29.711733+00,40,280000,33.8333,35.5442
120,El Metn,Warehouse,1,0,2025-03-16 14:47:29.802752+00,650,600000,33.9006,35.6178
121,Kesrouane,Chalet,2,2,2025-03-16 14:47:29.900409+00,123,350000,33.9808,35.6856
122,El Metn,Shop,4,0,2025-03-16 14:47:29.991631+00,440,2200000,33.9006,35.6178
