id,created_at,district,avg_price_$,median_price_$,min_price_$,max_price_$,listings_count
154,2025-02-07 16:59:25.145467+00,Deir Al Qamar,370260,330000,230000,666300,5
155,2025-02-07 16:59:25.254718+00,Deir El Ahmar,430000,430000,430000,430000,1
156,2025-02-07 16:59:25.354568+00,Deir Qoubel,237000,140000,90000,600000,5
157,2025-02-07 16:59:25.464169+00,Dekwaneh,213823,162500,100000,500000,34
158,2025-02-07 16:59:25.569067+00,Dekweneh,1425647,420000,130000,13700000,17
159,2025-02-07 16:59:25.673736+00,Dhour Choueir,426666,450000,180000,580000,6
160,2025-02-07 16:59:25.786866+00,Dibbiyeh,275000,275000,275000,275000,1
161,2025-02-07 16:59:25.894291+00,Dik El Mehdi,411153,290000,105000,3600000,52
162,2025-02-07 16:59:25.999573+00,Dlebta,513000,550000,105000,1100000,5
163,2025-02-07 16:59:26.19317+00,Dora,689000,530000,135000,1200000,5
164,2025-02-07 16:59:26.287191+00,Douar,175846,121000,100000,648000,26
165,2025-02-07 16:59:26.383955+00,Down Town,2352333,1850000,400000,8000000,93
166,2025-02-07 16:59:26.51368+00,Edde,275642,192500,100000,1500000,28
167,2025-02-07 16:59:26.625054+00,Ehmej,218272,250000,26000,375000,11
168,2025-02-07 16:59:26.724752+00,Ehmez,90000,90000,90000,90000,1
169,2025-02-07 16:59:26.824684+00,El Biyada,694016,650000,250000,3600000,119
170,2025-02-07 16:59:26.928185+00,Elissar,508400,385000,155000,3000000,20
171,2025-02-07 16:59:27.057917+00,Faitroun,825833,609999,114999,2500000,6
172,2025-02-07 16:59:27.158191+00,Faiyadiyeh,870000,870000,340000,1400000,2
173,2025-02-07 16:59:27.258051+00,Fakra,863452,375000,85000,5000000,21
174,2025-02-07 16:59:27.368966+00,Falougha,70000,70000,70000,70000,1
175,2025-02-07 16:59:27.469802+00,Fanar,287913,249999,125000,1100000,58
176,2025-02-07 16:59:27.567186+00,Faqra,1261388,665000,150000,9900000,72
177,2025-02-07 16:59:27.67031+00,Faraya,400309,310000,69999,1500000,71
178,2025-02-07 16:59:27.767168+00,Fassouh,750000,750000,750000,750000,1
179,2025-02-07 16:59:27.867073+00,Fatqa,1244583,327500,95000,18000000,24
180,2025-02-07 16:59:27.972001+00,Faytroun,822333,500000,115000,2600000,21
181,2025-02-07 16:59:28.0805+00,Fidar,1582846,483000,150000,13000000,13
182,2025-02-07 16:59:28.182564+00,Fiyadiye,530000,530000,160000,900000,2
183,2025-02-07 16:59:28.306094+00,Furn El Chebbak,274642,250000,89999,800000,14
184,2025-02-07 16:59:28.401776+00,Geitawi,275000,265000,240000,330000,4
185,2025-02-07 16:59:28.500749+00,Gemayzeh,604444,450000,250000,1550000,9
186,2025-02-07 16:59:28.600623+00,Ghadir,412714,245000,95000,4600000,28
187,2025-02-07 16:59:28.705791+00,Ghalboun,625000,625000,490000,760000,2
188,2025-02-07 16:59:28.80288+00,Gharzouz,337500,352500,160000,485000,4
189,2025-02-07 16:59:28.904314+00,Ghazir,1713214,497500,75000,12500000,28
190,2025-02-07 16:59:29.001476+00,Ghbale,350000,350000,100000,600000,2
191,2025-02-07 16:59:29.099967+00,Ghedras,145000,145000,120000,170000,2
192,2025-02-07 16:59:29.201915+00,Gherfine,466312,207500,77000,1700000,16
193,2025-02-07 16:59:29.306273+00,Ghine,131666,140000,115000,140000,3
194,2025-02-07 16:59:29.413534+00,Ghineh,396665,219999,149999,819999,3
195,2025-02-07 16:59:29.514694+00,Ghosta,384999,282499,105000,850000,8
196,2025-02-07 16:59:29.615171+00,Hadad,220000,220000,220000,220000,1
197,2025-02-07 16:59:29.734733+00,Hadath,429912,290000,110000,2700000,23
198,2025-02-07 16:59:29.834926+00,Halat,766384,260000,50000,16000000,78
199,2025-02-07 16:59:29.941541+00,Hamat,1791666,450000,225000,4700000,3
200,2025-02-07 16:59:30.046898+00,Hamra,926969,650000,125000,4100000,33
201,2025-02-07 16:59:30.153363+00,Haqel,331875,80000,60000,2080000,8
