date,city,transaction_value,id
2015-01-01,Mount Lebanon South,456.90299999999996,121
2015-01-01,North,66.342,265
2015-02-01,Beirut,164.716,50
2015-02-01,Bekaa,21.658,338
2015-02-01,Mount Lebanon North,158.986,194
2015-02-01,Mount Lebanon South,481.47,122
2015-02-01,North,51.07,266
2015-03-01,Beirut,211.102,51
2015-03-01,Bekaa,38.1,339
2015-03-01,Mount Lebanon North,214.826,195
2015-03-01,Mount Lebanon South,617.4300000000001,123
2015-03-01,North,53.984,267
2015-04-01,Beirut,233.454,52
2015-04-01,Bekaa,28.487,340
2015-04-01,Mount Lebanon North,250.92,196
2015-04-01,Mount Lebanon South,602.058,124
2015-04-01,North,47.454,268
2015-05-01,Beirut,218.756,53
2015-05-01,Bekaa,33.424,341
2015-05-01,Mount Lebanon North,294.336,197
2015-05-01,Mount Lebanon South,678.054,125
2015-05-01,North,72.13,269
2015-06-01,Beirut,235.809,54
2015-06-01,Bekaa,38.146,342
2015-06-01,Mount Lebanon North,315.444,198
2015-06-01,Mount Lebanon South,699.531,126
2015-06-01,North,54.344,270
2015-07-01,Beirut,394.021,55
2015-07-01,Bekaa,46.859,343
2015-07-01,Mount Lebanon North,240.878,199
2015-07-01,Mount Lebanon South,676.5360000000001,127
2015-07-01,North,67.712,271
2015-08-01,Beirut,20.98,56
2015-08-01,Bekaa,45.48,344
2015-08-01,Mount Lebanon North,256.522,200
2015-08-01,Mount Lebanon South,741.735,128
2015-08-01,North,64.7,272
2015-09-01,Beirut,232.992,57
2015-09-01,Bekaa,42.696,345
2015-09-01,Mount Lebanon North,283.852,201
2015-09-01,Mount Lebanon South,809.892,129
2015-09-01,North,68.638,273
2015-10-01,Beirut,222.747,58
2015-10-01,Bekaa,33.738,346
2015-10-01,Mount Lebanon North,343.994,202
2015-10-01,Mount Lebanon South,632.3100000000001,130
2015-10-01,North,72.66,274
2015-11-01,Beirut,244.619,59
2015-11-01,Bekaa,32.772,347
2015-11-01,Mount Lebanon North,213.772,203
2015-11-01,Mount Lebanon South,616.617,131
2015-11-01,North,73.424,275
2015-12-01,Beirut,371.27,60
2015-12-01,Bekaa,51.427,348
2015-12-01,Mount Lebanon North,291.84,204
2015-12-01,Mount Lebanon South,963.9060000000001,132
2015-12-01,North,65.076,276
2016-01-01,Beirut,141.757,61
2016-01-01,Bekaa,19.919,349
2016-01-01,Mount Lebanon North,181.58,205
2016-01-01,Mount Lebanon South,679.1850000000001,133
2016-01-01,North,57.426,277
2016-02-01,Beirut,500.932,62
2016-02-01,Bekaa,41.907,350
2016-02-01,Mount Lebanon North,212.988,206
2016-02-01,Mount Lebanon South,604.395,134
2016-02-01,North,69.656,278
2016-03-01,Beirut,217.064,63
2016-03-01,Bekaa,45.019,351
2016-03-01,Mount Lebanon North,230.576,207
2016-03-01,Mount Lebanon South,904.329,135
2016-03-01,North,78.848,279
2016-04-01,Beirut,297.91,64
2016-04-01,Bekaa,46.032,352
2016-04-01,Mount Lebanon North,213.89,208
2016-04-01,Mount Lebanon South,661.326,136
2016-04-01,North,79.41,280
2016-05-01,Beirut,201.682,65
2016-05-01,Bekaa,26.837,353
2016-05-01,Mount Lebanon North,203.822,209
2016-05-01,Mount Lebanon South,818.5140000000001,137
2016-05-01,North,59.322,281
2016-06-01,Beirut,270.022,66
2016-06-01,Bekaa,31.268,354
2016-06-01,Mount Lebanon North,207.278,210
2016-06-01,Mount Lebanon South,646.722,138
2016-06-01,North,61.626,282
2016-07-01,Beirut,201.686,67
2016-07-01,Bekaa,37.114,355
2016-07-01,Mount Lebanon North,206.202,211
2016-07-01,Mount Lebanon South,601.365,139
2016-07-01,North,74.47,283
2016-08-01,Beirut,282.233,68
2016-08-01,Bekaa,37.075,356
2016-08-01,Mount Lebanon North,215.858,212
2016-08-01,Mount Lebanon South,753.0,140
2016-08-01,North,67.448,284
2016-09-01,Beirut,286.562,69
2016-09-01,Bekaa,35.583,357
2016-09-01,Mount Lebanon North,178.388,213
2016-09-01,Mount Lebanon South,934.923,141
2016-09-01,North,50.894,285
2016-10-01,Beirut,168.748,70
2016-10-01,Bekaa,39.955,358
2016-10-01,Mount Lebanon North,232.464,214
2016-10-01,Mount Lebanon South,760.986,142
2016-10-01,North,64.77,286
2016-11-01,Beirut,269.303,71
2016-11-01,Bekaa,64.784,359
2016-11-01,Mount Lebanon North,229.184,215
2016-11-01,Mount Lebanon South,829.059,143
2016-11-01,North,79.064,287
2016-12-01,Beirut,515.327,72
2016-12-01,Bekaa,38.119,360
2016-12-01,Mount Lebanon North,332.808,216
2016-12-01,Mount Lebanon South,767.607,144
2016-12-01,North,85.236,288
