Address,Rent $/year,Type,Size m²,Bedrooms,Bathrooms
"Jbeil, Jbeil, Mount Lebanon",120000                        ,Warehouse,3150,4,N/A
"Kaslik, Kesrouane, Mount Lebanon",4500                         /Season,Chalet,50,1,N/A
"Gherfine, Jbeil, Mount Lebanon",7200                        ,Apartment,150,2,2
"Achrafieh, Beirut, Beirut",18000                        ,Apartment,75,1,2
"Zouk Mosbeh, Kesrouane, Mount Lebanon",6000                        ,Warehouse,200,1,N/A
"Adma, Kesrouane, Mount Lebanon",8000                        ,Apartment,160,1,N/A
"Qannabet Broumana, El Metn, Mount Lebanon",6600                        ,Apartment,145,3,3
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",18000                        ,Apartment,140,3,2
"Halat, Jbeil, Mount Lebanon",15600                        ,Warehouse,550,1,N/A
"Adma, Kesrouane, Mount Lebanon",12000                        ,Apartment,300,3,4
"Adma, Kesrouane, Mount Lebanon",7200                        ,Office,100,1,N/A
"Sahel Alma, Kesrouane, Mount Lebanon",36000                        ,Shop,750,4,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon",9600                        ,Apartment,250,3,3
"Biyada, El Metn, Mount Lebanon",24000                        ,Apartment,280,3,3
"Dik El Mehdi, El Metn, Mount Lebanon",14400                        ,Apartment,250,3,4
"Ballouneh, Kesrouane, Mount Lebanon",7800                        ,Apartment,180,3,4
"Down Town, Beirut, Beirut",26250                        ,Shop,26,1,N/A
"Achrafieh, Beirut, Beirut",15600                        ,Apartment,135,2,3
"Ghazir, Kesrouane, Mount Lebanon",15600                        ,Office,140,3,N/A
"Halat, Jbeil, Mount Lebanon",18000                        ,Land,1700,N/A,N/A
"Achrafieh, Beirut, Beirut",10800                        ,Apartment,120,2,2
"Jbeil, Jbeil, Mount Lebanon",13000                        ,Shop,125,1,N/A
"Ras Beirut, Beirut, Beirut",18000                        ,Shop,100,N/A,N/A
"Achrafieh, Beirut, Beirut",48000                        ,Land,1000,N/A,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon",7200                        ,Shop,130,1,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon",6000                        ,Office,120,1,N/A
"Tabarja, Kesrouane, Mount Lebanon",18000                        ,Chalet,125,2,2
"Kfarzebian, Kesrouane, Mount Lebanon",18000                        ,Chalet,130,2,2
"Dekweneh, El Metn, Mount Lebanon",16800                        ,Apartment,200,3,3
"Ajaltoun, Kesrouane, Mount Lebanon",18000                        ,House/Villa,220,3,3
"Nahr Ibrahim, Jbeil, Mount Lebanon",6000                        ,Shop,50,1,N/A
"Jounieh, Kesrouane, Mount Lebanon",7200                        ,Office,70,1,N/A
"Biyada, El Metn, Mount Lebanon",36000                        ,Apartment,300,3,4
"Batroun, Batroun, North",8000                        ,Chalet,50,1,N/A
"Hboub, Jbeil, Mount Lebanon",7200                        ,Apartment,205,3,4
"Haret Sakher, Kesrouane, Mount Lebanon",8400                        ,Apartment,160,3,3
"Ras Beirut, Beirut, Beirut",24000                        ,Apartment,130,2,3
"Zalka, El Metn, Mount Lebanon",4200                        ,Shop,40,1,N/A
"Jisr El Bacha, El Metn, Mount Lebanon",4200                        ,Shop,40,1,N/A
"Elissar, El Metn, Mount Lebanon",15600                        ,Apartment,350,4,5
"Bouchrieh, El Metn, Mount Lebanon",9600                        ,Factory,300,1,N/A
"Naccache, El Metn, Mount Lebanon",18000                        ,Apartment,200,3,3
"Naccache, El Metn, Mount Lebanon",5400                        ,Shop,25,1,N/A
"Achrafieh, Beirut, Beirut",14400                        ,Apartment,295,3,3
"Jbeil, Jbeil, Mount Lebanon",8400                        ,Office,83,2,N/A
