Date,Transaction_Number,City
Aug-16,91,"Kesrouan, Jbeil"
Sep-16,639,"Kesrouan, Jbeil"
Oct-16,748,"Kesrouan, Jbeil"
Nov-16,662,"Kesrouan, Jbeil"
Dec-16,815,"Kesrouan, Jbeil"
Jan-11,678,Metn
Feb-11,624,Metn
Mar-11,850,Metn
Apr-11,721,Metn
May-11,808,Metn
Jun-11,876,Metn
Jul-11,825,Metn
Aug-11,905,Metn
Sep-11,1035,Metn
Oct-11,1086,Metn
Nov-11,966,Metn
Dec-11,1259,Metn
Jan-12,692,Metn
Feb-12,751,Metn
Mar-12,832,Metn
Apr-12,666,Metn
May-12,900,Metn
Jun-12,872,Metn
Jul-12,755,Metn
Aug-12,772,Metn
Sep-12,868,Metn
Oct-12,893,Metn
Nov-12,825,Metn
Dec-12,1215,Metn
Jan-13,588,Metn
Feb-13,324,Metn
Mar-13,750,Metn
Apr-13,914,Metn
May-13,827,Metn
Jun-13,869,Metn
Jul-13,917,Metn
Aug-13,829,Metn
Sep-13,846,Metn
Oct-13,875,Metn
Nov-13,869,Metn
Dec-13,1034,Metn
Jan-14,680,Metn
Feb-14,694,Metn
Mar-14,820,Metn
Apr-14,832,Metn
May-14,811,Metn
Jun-14,725,Metn
Jul-14,631,Metn
Aug-14,755,Metn
Sep-14,808,Metn
Oct-14,799,Metn
Nov-14,733,Metn
Dec-14,1085,Metn
Jan-15,473,Metn
Feb-15,638,Metn
Mar-15,742,Metn
Apr-15,669,Metn
May-15,735,Metn
Jun-15,819,Metn
Jul-15,770,Metn
Aug-15,719,Metn
Sep-15,697,Metn
Oct-15,806,Metn
Nov-15,859,Metn
Dec-15,964,Metn
Jan-16,531,Metn
Feb-16,583,Metn
Mar-16,704,Metn
Apr-16,694,Metn
May-16,644,Metn
Jun-16,745,Metn
Jul-16,632,Metn
Aug-16,703,Metn
Sep-16,670,Metn
Oct-16,776,Metn
Nov-16,754,Metn
Dec-16,913,Metn
Jan-11,621,"Tripoli, Akkar"
Feb-11,595,"Tripoli, Akkar"
Mar-11,739,"Tripoli, Akkar"
Apr-11,633,"Tripoli, Akkar"
May-11,721,"Tripoli, Akkar"
Jun-11,666,"Tripoli, Akkar"
Jul-11,686,"Tripoli, Akkar"
Aug-11,573,"Tripoli, Akkar"
Sep-11,683,"Tripoli, Akkar"
Oct-11,755,"Tripoli, Akkar"
Nov-11,603,"Tripoli, Akkar"
Dec-11,968,"Tripoli, Akkar"
Jan-12,633,"Tripoli, Akkar"
Feb-12,627,"Tripoli, Akkar"
Mar-12,630,"Tripoli, Akkar"
Apr-12,546,"Tripoli, Akkar"
May-12,561,"Tripoli, Akkar"
