Address,Price,Type,Size,Bedrooms,Bathrooms
"Batroun, Batroun, North","$8,000                         /Year",Chalet,50 m²,1,N/A
"Hboub, Jbeil, Mount Lebanon","$7,200                         /Year",Apartment,205 m²,3,4
"Haret Sakher, Kesrouane, Mount Lebanon","$8,400                         /Year",Apartment,160 m²,3,3
"Ras Beirut, Beirut, Beirut","$24,000                         /Year",Apartment,130 m²,2,3
"Zalka, El Metn, Mount Lebanon","$4,200                         /Year",Shop,40 m²,1,N/A
"Jisr El Bacha, El Metn, Mount Lebanon","$4,200                         /Year",Shop,40 m²,1,N/A
"Elissar, El Metn, Mount Lebanon","$15,600                         /Year",Apartment,350 m²,4,5
"Bouchrieh, El Metn, Mount Lebanon","$9,600                         /Year",Factory,300 m²,1,N/A
"Naccache, El Metn, Mount Lebanon","$18,000                         /Year",Apartment,200 m²,3,3
"Naccache, El Metn, Mount Lebanon","$5,400                         /Year",Shop,25 m²,1,N/A
"Achrafieh, Beirut, Beirut","$14,400                         /Year",Apartment,295 m²,3,3
"Jbeil, Jbeil, Mount Lebanon","$8,400                         /Year",Office,83 m²,2,N/A
"Halat, Jbeil, Mount Lebanon","$18,000                         /Year",Apartment,125 m²,3,3
"Bouchrieh, El Metn, Mount Lebanon","$7,200                         /Year",Apartment,160 m²,2,2
"Batroun, Batroun, North","$19,200                         /Year",Apartment,70 m²,1,1
"Fidar, Jbeil, Mount Lebanon","$12,000                         /Year",Apartment,200 m²,3,3
"Ras Beirut, Beirut, Beirut","$19,200                         /Year",Apartment,164 m²,3,4
"Blat, Jbeil, Mount Lebanon","$12,000                         /Year",Land,850 m²,N/A,N/A
"Batroun, Batroun, North","$8,400                         /Year",Apartment,113 m²,1,2
"Nahr Ibrahim, Jbeil, Mount Lebanon","$12,000                         /Year",Apartment,300 m²,5,4
"Adma, Kesrouane, Mount Lebanon","$4,500                         /Year",Apartment,50 m²,1,1
"Batroun, Batroun, North","$12,000                         /Year",Office,165 m²,2,2
"Blat, Jbeil, Mount Lebanon","$8,400                         /Year",Apartment,120 m²,1,2
"Fiyadiye, Baabda, Mount Lebanon","$21,000                         /Year",Office,120 m²,1,N/A
"Fiyadiye, Baabda, Mount Lebanon","$13,000                         /Year",Shop,97 m²,1,N/A
"Fiyadiye, Baabda, Mount Lebanon","$18,000                         /Year",Office,127 m²,1,N/A
"Fiyadiye, Baabda, Mount Lebanon","$20,000                         /Year",Office,102 m²,1,N/A
"Fiyadiye, Baabda, Mount Lebanon","$90,000                         /Year",Shop,550 m²,N/A,N/A
"Bouchrieh, El Metn, Mount Lebanon","$30,000                         /Year",Warehouse,"1,200 m²",1,N/A
"Jal el Dib, El Metn, Mount Lebanon","$6,600                         /Year",Office,70 m²,1,N/A
"Antelias, El Metn, Mount Lebanon","$10,000                         /Year",Warehouse,400 m²,1,N/A
"Mansourieh, El Metn, Mount Lebanon","$14,400                         /Year",Apartment,203 m²,3,4
"Ras Beirut, Beirut, Beirut","$24,000                         /Year",Apartment,300 m²,3,4
"Mtayleb, El Metn, Mount Lebanon","$18,000                         /Year",Shop,60 m²,1,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon","$7,200                         /Year",Apartment,240 m²,3,3
"Mansourieh, El Metn, Mount Lebanon","$130,000                         /Year",Land,"3,300 m²",N/A,N/A
"New Rawda, El Metn, Mount Lebanon","$11,000                         /Year",Apartment,220 m²,3,3
"Jbeil, Jbeil, Mount Lebanon","$12,000                         /Year",Shop,125 m²,1,N/A
"Achrafieh, Beirut, Beirut","$30,000                         /Year",Shop,40 m²,1,N/A
"Achrafieh, Beirut, Beirut","$70,000                         /Year",Shop,700 m²,3,N/A
"Safra, Kesrouane, Mount Lebanon","$30,000                         /Year",Office,600 m²,4,N/A
"chnaniir, Kesrouane, Mount Lebanon","$72,000                         /Year",House/Villa,"1,500 m²",7,N/A
"Achrafieh, Beirut, Beirut","$50,000                         /Year",Office,300 m²,3,N/A
"Down Town, Beirut, Beirut","$50,000                         /Year",Office,300 m²,3,N/A
"Fatqa, Kesrouane, Mount Lebanon","$12,000                         /Year",Apartment,350 m²,3,4
"Batroun, Batroun, North","$6,000                         /Year",Land,711 m²,N/A,N/A
"Batroun, Batroun, North","$6,000                         /Year",Land,610 m²,N/A,N/A
"Batroun, Batroun, North","$6,000                         /Year",Land,720 m²,N/A,N/A
"Batroun, Batroun, North","$6,000                         /Year",Land,743 m²,N/A,N/A
"Batroun, Batroun, North","$6,000                         /Year",Land,590 m²,N/A,N/A
"Batroun, Batroun, North","$6,000                         /Year",Land,690 m²,N/A,N/A
"Batroun, Batroun, North","$6,000                         /Year",Land,703 m²,N/A,N/A
"Batroun, Batroun, North","$6,000                         /Year",Land,741 m²,N/A,N/A
"Achrafieh, Beirut, Beirut","$120,000                         /Year",Land,"2,023 m²",N/A,N/A
"Achrafieh, Beirut, Beirut","$36,000                         /Year",Apartment,230 m²,2,3
