Date,Transaction_Number,City,Transaction_Value
06/2015,756,Bekaa,38.146
07/2015,704,Bekaa,46.859
08/2015,965,Bekaa,45.48
09/2015,803,Bekaa,42.696
10/2015,762,Bekaa,33.738
11/2015,710,Bekaa,32.772
12/2015,962,Bekaa,51.427
01/2016,536,Bekaa,19.919
02/2016,729,Bekaa,41.907
03/2016,784,Bekaa,45.019
04/2016,807,Bekaa,46.032
05/2016,602,Bekaa,26.837
06/2016,636,Bekaa,31.268
07/2016,689,Bekaa,37.114
08/2016,911,Bekaa,37.075
09/2016,800,Bekaa,35.583
10/2016,903,Bekaa,39.955
11/2016,1030,Bekaa,64.784
12/2016,837,Bekaa,38.119
