id,province_id,name_en,name_ar,copy_field_en,copy_field_ar
c139,6,Biaqout,بياقوت,"Biaqout (Mount Lebanon Governorate, El Metn district)","بياقوت (محافظة جبل لبنان, قضاء المتن)"
c140,6,Mansourieh,المنصورية,"Mansourieh (Mount Lebanon Governorate, El Metn district)","المنصورية (محافظة جبل لبنان, قضاء المتن)"
c141,2,Jnah,جناح,"Jnah (Beirut Governorate, Beirut district)","جناح (محافظة بيروت, قضاء بيروت)"
c142,6,Mayyaseh,مياسة,"Mayyaseh (Mount Lebanon Governorate, El Metn district)","مياسة (محافظة جبل لبنان, قضاء المتن)"
c143,6,Ashkout,عشقوت,"Ashkout (Mount Lebanon Governorate, Kesrouane district)","عشقوت (محافظة جبل لبنان, قضاء كسروان)"
c144,6,Klayaat,القليعات,"Klayaat (Mount Lebanon Governorate, Kesrouane district)","القليعات (محافظة جبل لبنان, قضاء كسروان)"
c145,6,Haret El Sett,حارة الست,"Haret El Sett (Mount Lebanon Governorate, Baabda district)","حارة الست (محافظة جبل لبنان, قضاء بعبدا)"
c146,6,Qarnayel,قرنايل,"Qarnayel (Mount Lebanon Governorate, Baabda district)","قرنايل (محافظة جبل لبنان, قضاء بعبدا)"
c147,6,Maaser Beit Al Dine,معاصر بيت الدين,"Maaser Beit Al Dine (Mount Lebanon Governorate, Chouf district)","معاصر بيت الدين (محافظة جبل لبنان, قضاء الشوف)"
c148,6,Majdal El Meouch,مجدل المعوش,"Majdal El Meouch (Mount Lebanon Governorate, Chouf district)","مجدل المعوش (محافظة جبل لبنان, قضاء الشوف)"
c149,6,Mejdel,مجدل,"Mejdel (Mount Lebanon Governorate, Jbeil district)","مجدل (محافظة جبل لبنان, قضاء جبيل)"
c150,6,Braij,بارج,"Braij (Mount Lebanon Governorate, Jbeil district)","بارج (محافظة جبل لبنان, قضاء جبيل)"
c151,6,Bhamdoun Al Dayaa,بحمدون الضيعة,"Bhamdoun Al Dayaa (Mount Lebanon Governorate, Aley district)","بحمدون الضيعة (محافظة جبل لبنان, قضاء عاليه)"
c152,6,Majdal Baana,مجدل بعنا,"Majdal Baana (Mount Lebanon Governorate, Aley district)","مجدل بعنا (محافظة جبل لبنان, قضاء عاليه)"
c153,1,Habbouch,حبوش,"Habbouch (Nabatieh Governorate, Nabatieh district)","حبوش (محافظة النبطية, قضاء النبطية)"
c154,1,Hanine,حنين,"Hanine (Nabatieh Governorate, Bint Jbeil district)","حنين (محافظة النبطية, قضاء بنت جبيل)"
c155,1,Chouaia,شويا,"Chouaia (Nabatieh Governorate, Hasbaya district)","شويا (محافظة النبطية, قضاء حاصبيا)"
c156,3,Tannourine,تنورين,"Tannourine (North Governorate, Batroun district)","تنورين (محافظة الشمال, قضاء البترون)"
c157,3,Jdabra,جدبرا,"Jdabra (North Governorate, Batroun district)","جدبرا (محافظة الشمال, قضاء البترون)"
c158,3,Bsarma,بصرما,"Bsarma (North Governorate, Koura district)","بصرما (محافظة الشمال, قضاء الكورة)"
c159,3,Aarjess,عرجس,"Aarjess (North Governorate, Zgharta district)","عرجس (محافظة الشمال, قضاء زغرتا)"
c160,3,Bakhaoun,بخعون,"Bakhaoun (North Governorate, Minieh-danniyeh district)","بخعون (محافظة الشمال, قضاء المنية والضنية)"
c161,3,Terbol (Minieh-danniyeh),تربل (المنية والضنية),"Terbol (Minieh-danniyeh) (North Governorate, Minieh-danniyeh district)","تربل (المنية والضنية) (محافظة الشمال, قضاء المنية والضنية)"
c162,3,Cheikh Zennad,الشيخ زناد,"Cheikh Zennad (North Governorate, Akkar district)","الشيخ زناد (محافظة الشمال, قضاء عكار)"
c163,3,Fnaidek,فنيدق,"Fnaidek (North Governorate, Akkar district)","فنيدق (محافظة الشمال, قضاء عكار)"
c164,3,Safinet El Qaiteaa,سفينة القعيطاع,"Safinet El Qaiteaa (North Governorate, Akkar district)","سفينة القعيطاع (محافظة الشمال, قضاء عكار)"
c165,5,Hlaliyeh,هلاليه,"Hlaliyeh (South Governorate, Saida district)","هلاليه (محافظة الجنوب, قضاء صيدا)"
c166,5,Barich,بريش,"Barich (South Governorate, Tyre district)","بريش (محافظة الجنوب, قضاء صور)"
c167,5,Rmadiyeh,الرمادية,"Rmadiyeh (South Governorate, Tyre district)","الرمادية (محافظة الجنوب, قضاء صور)"
c168,5,Raimat,ريمات,"Raimat (South Governorate, Jezzine district)","ريمات (محافظة الجنوب, قضاء جزين)"
