Title,Price,Bedroom,Bathroom,Area sqm,DistrictID,Furnished,ProvinceID,Community_id
Elegant | Spacious High End Apartment | 2 Huge Terraces,3500000,4,4,475,28,no,2,535
Shared Gym&Pool | 300 Sqm | Open Sea&Mountain View,1300000,3,5,300,28,yes,2,969
Open Sea&Mountain View | Shared Pool&Gym | 407 Sqm,1850000,3,5,407,28,no,2,969
Fully Sea View Apartment For Sale in Ramlet al-Baydah Gym & Pool Access,2700000,4,4,520,28,no,2,831
Modern & Tasteful Flat | Central Location,500000,3,3,180,28,yes,2,569
Spacious Apartment | For Sale In Downtown,1690000,3,5,385,28,no,2,535
Luxury Duplex for sale in Rawche,10000000,7,7,1000,28,no,2,1077
Luxury full floor Apartment for sale in Rawche,3500000,5,6,535,28,no,2,1077
Chalet for sale in faraya/ Furnished/ Garden,300000,2,2,155,32,yes,6,688
Luxury Apartment with superb view in Rabieh for Sale,875000,4,4,450,24,partly,6,723
Apartment for sale in Rabieh/ Duplex/ View,749999,6,7,540,24,no,6,723
Charming Chalet in Zouk Mosbeh.,190000,0,1,50,32,yes,6,726
Unlock Your Future Home: Mansourieh's Newest Project Under Construction Offers Lease-to-Own with Easy Payment Facilities,240000,3,3,200,24,no,6,140
Unlock Your Future Home: Mansourieh's Newest Project Under Construction Offers Lease-to-Own with Easy Payment Facilities,195000,3,2,165,24,no,6,140
Unlock Your Future Home: Mansourieh's Newest Project Under Construction Offers Lease-to-Own with Easy Payment Facilities,180000,3,2,155,24,no,6,140
Apartment with City and Sea Views in Dekwaneh,230000,3,3,160,24,no,6,285
Open Sea&Mountain view | Shared Pool&Gym | 24/7 Electricity,1200000,3,5,280,28,yes,2,969
New Apartment for sale in Rawche,800000,3,4,190,28,no,2,1077
Gym|Pool|Terrace Fully Sea View For Sale in Ain al-Mraiseh,3500000,5,7,950,28,no,2,205
Spacious apartment - pool access - bsalim,250000,3,3,210,24,yes,6,393
Amazing Flat | Prime Location | Great Building,2500000,4,4,600,28,yes,2,969
Chalet for sale in Ouyoun El Siman/ Furnished,190000,3,4,119,32,yes,6,1125
Villa for sale in Faqra/ Garden/ Furnished/ Decorated,2500000,5,6,627,32,yes,6,1089
Luxurious Apartment for Sale I Prime Location,650000,2,3,160,28,no,2,105
Apartment for sale in Achrafieh/ penthouse,900000,4,4,425,28,no,2,969
Gorgeous Apartment | Great Location | Security,550000,3,3,200,28,yes,2,205
Apartment for sale in Ain Aar/ View,699000,5,5,450,24,no,6,1084
3 Bedrooms Apartment with Sea & Mountain View,250000,3,3,150,24,yes,6,761
Beautifull apartment In Biakout for sale,130000,3,3,130,24,no,6,139
Apartment for sale in Kornet Chehwan,190000,3,3,140,24,no,6,684
Apartment for sale in Naccache/ New/ Garden,425000,4,3,240,24,no,6,1265
Luxurious fully furnished apartment for sale.,240000,3,3,185,24,yes,6,393
Apartment for sale in Koraytem,375000,3,3,265,28,no,2,249
Stunning Chalet Terrace,260000,2,2,118,32,yes,6,652
Fully Furnished for Sale in Aoukar!,85000,2,2,80,24,yes,6,1193
8 New Luxury Apartments for sale,600000,3,5,250,28,no,2,249
Lovely three bedrooms flat-Zouk Mosbeh,118000,3,3,150,32,no,6,726
Apartment for sale in Sanayeh,560000,3,4,220,28,no,2,424
Furnished Apartment | Prime Location,1000000,5,4,400,28,yes,2,831
Spacious apartment with Terrace & Garden - Prime Location,450000,3,4,420,24,no,6,1301
Duplex for sale in Rawche,1850000,4,5,600,28,no,2,1077
Luxuries apartment for sale in Rawche,3300000,4,5,600,28,no,2,1077
ACHRAFIEH APARTMENT FOR SALE AA410,700000,3,3,245,28,no,2,969
ACHRAFIEH APARTMENT FOR SALE AA409,600000,3,3,250,28,no,2,969
Fully Furnished - Brand New - Huge Layout,230000,3,3,170,24,yes,6,212
Deluxe Furnished Home for Sale in Horsh tabet!!,900000,4,3,300,24,yes,6,396
Deluxe Furnished Home for Sale in Horsh tabet!!,900000,4,3,300,24,yes,6,396
Duplex for sale in Rawche,4350000,5,6,740,28,no,2,1077
Modern design | Terrace | Open view,390000,3,4,270,24,no,6,905
Unfurnished | Authentic Apartment | Charming Area,460000,3,3,250,28,yes,2,759
Beautiful Apartment in Jal el Dib for sale Get it,250000,3,3,235,24,partly,6,939
BHARSAF APARTMENT FOR SALE RK281,425000,5,6,1150,24,no,6,250
Apartment For Sale in Ain Mreisseh,700000,3,4,175,28,no,2,205
Spacious Elegant Apartment | Open View,525000,3,4,175,28,no,2,569
Low budget | balconies | invest,155000,2,1,120,28,no,2,969
SPACIOUS FURNISHED FLAT FOR SALE IN SIN EL FIL!!,255000,3,3,195,24,yes,6,686
Brand New flat for sale in Zaroon!!,87500,2,2,100,24,no,6,614
Gorgeous Flat | Prime Location | Terrace,240000,2,1,180,28,yes,2,969
Apartment with garden for Sale  in Waterfront Dbayeh,900000,2,4,200,24,no,6,1230
Apartment for Sale in Prime Jdeideh,230000,3,3,190,24,no,6,211
High End Finishing | Great Location,600000,2,2,210,28,yes,2,969
Amazing Duplex | Huge Terrace | 24/7 Electricity,1250000,2,2,240,28,yes,2,969
Apartment for sale in Rabieh/ Furnished/ View,300000,4,3,236,24,yes,6,723
Villa for sale in Rabieh/ View/ Pool,2200000,5,7,655,24,no,6,723
