id,city,district,province,type,bedrooms,created_at,price_$,latitude,longitude,bathrooms,size_m2
70,Baabdat,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:22.734092+00,450000,33.9006,35.6178,3,200
71,Aannaya,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:22.990719+00,100000,34.1236,35.6455,3,200
72,Bouar,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:47:23.171649+00,150000,33.9808,35.6856,2,130
73,Edde,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:23.265199+00,125000,34.1236,35.6455,2,125
74,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:47:23.446701+00,400000,33.8886,35.4955,2,200
75,Monteverde,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:23.537553+00,350000,33.9006,35.6178,3,200
76,Sahel Alma,Kesrouane,Mount Lebanon,Apartment,4,2025-03-16 14:47:23.638691+00,400000,33.9808,35.6856,3,250
77,Haret Sakher,Kesrouane,Mount Lebanon,House/Villa,3,2025-03-16 14:47:23.76538+00,325000,33.9808,35.6856,3,200
78,Rabweh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:23.933809+00,370000,33.9006,35.6178,3,190
79,Rabweh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:24.047458+00,310000,33.9006,35.6178,3,200
80,Aamchit,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:24.228109+00,110000,34.1236,35.6455,2,111
81,Chikhane,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:24.354848+00,130000,34.1236,35.6455,0,1167
82,Zouk Mikael,Kesrouane,Mount Lebanon,Warehouse,1,2025-03-16 14:47:24.456375+00,165000,33.9808,35.6856,0,170
83,Naccache,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:24.796504+00,230000,33.9006,35.6178,3,145
84,Ras Beirut,Beirut,Beirut,Apartment,3,2025-03-16 14:47:25.081414+00,1250000,33.8886,35.4955,3,400
85,Baabda,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:47:25.356255+00,295000,33.8333,35.5442,4,255
