id,city,district,province,type,bedrooms,created_at,price_$,latitude,longitude,bathrooms,size_m2
710,Tabarja,Kesrouane,Mount Lebanon,Chalet,1,2025-03-16 14:48:34.254953+00,110000,33.9808,35.6856,1,30
711,Fatqa,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:48:34.370639+00,330000,33.9808,35.6856,5,380
712,Ain Najem,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:34.495925+00,1451200,33.9006,35.6178,0,1814
713,Adma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:48:34.612095+00,240000,33.9808,35.6856,4,170
714,Batroun,Batroun,North,Apartment,4,2025-03-16 14:48:34.772039+00,160000,34.2556,35.6586,3,155
715,Batroun,Batroun,North,Apartment,3,2025-03-16 14:48:34.884082+00,140000,34.2556,35.6586,2,132
716,okaybe,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:34.990056+00,100000,33.9808,35.6856,0,800
717,Halat,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:35.076506+00,130000,34.1236,35.6455,3,155
718,Aamchit,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:48:35.17598+00,105000,34.1236,35.6455,2,186
719,Zouk Mosbeh,Kesrouane,Mount Lebanon,Commercial Building,0,2025-03-16 14:48:35.277705+00,4500000,33.9808,35.6856,0,4350
720,Dbayeh,El Metn,Mount Lebanon,Office,6,2025-03-16 14:48:35.371423+00,618800,33.9006,35.6178,0,280
721,Mansourieh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:35.462436+00,195000,33.9006,35.6178,3,250
722,Mansourieh,El Metn,Mount Lebanon,Shop,1,2025-03-16 14:48:35.567083+00,230000,33.9006,35.6178,0,207
723,Mansourieh,El Metn,Mount Lebanon,Shop,1,2025-03-16 14:48:35.658592+00,190000,33.9006,35.6178,0,170
724,Mansourieh,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:48:35.763298+00,1900000,33.9006,35.6178,5,750
725,Tannourine,Batroun,North,Land,0,2025-03-16 14:48:35.877499+00,55000,34.2556,35.6586,0,828
726,Chikhane,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:36.054454+00,130000,34.1236,35.6455,0,1719
727,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:36.288694+00,205000,34.1236,35.6455,3,208
728,Shayle,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:48:36.395197+00,170000,33.9808,35.6856,3,170
729,Bikfaya,El Metn,Mount Lebanon,Residential Building,0,2025-03-16 14:48:36.500516+00,860000,33.9006,35.6178,0,600
730,Mar Takla,Baabda,Mount Lebanon,Apartment,2,2025-03-16 14:48:36.705654+00,275000,33.8333,35.5442,2,100
731,Yahchouch,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:36.804695+00,185000,33.9808,35.6856,0,4100
732,Adma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:48:36.896084+00,200000,33.9808,35.6856,4,155
733,Jbeil,Jbeil,Mount Lebanon,Shop,1,2025-03-16 14:48:36.989507+00,220000,34.1236,35.6455,0,85
734,Ayroun,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:37.092734+00,342500,33.9006,35.6178,0,1370
735,Blat,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:37.1979+00,125000,34.1236,35.6455,2,145
736,Achrafieh,Beirut,Beirut,Apartment,1,2025-03-16 14:48:37.292375+00,210000,33.8886,35.4955,1,55
737,Achrafieh,Beirut,Beirut,Apartment,1,2025-03-16 14:48:37.393488+00,445000,33.8886,35.4955,1,115
738,Jbeil,Jbeil,Mount Lebanon,Shop,1,2025-03-16 14:48:37.485523+00,95000,34.1236,35.6455,0,100
739,Horsh Tabet,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:37.704384+00,930000,33.9006,35.6178,5,330
740,Dbayeh,El Metn,Mount Lebanon,Office,2,2025-03-16 14:48:37.883682+00,239200,33.9006,35.6178,0,92
741,Dbayeh,El Metn,Mount Lebanon,Office,2,2025-03-16 14:48:37.989854+00,210600,33.9006,35.6178,0,81
742,Dbayeh,El Metn,Mount Lebanon,Office,2,2025-03-16 14:48:38.108547+00,192400,33.9006,35.6178,0,74
743,Blat,Jbeil,Mount Lebanon,Residential Building,28,2025-03-16 14:48:38.248352+00,1200000,34.1236,35.6455,0,1410
744,Sin El Fil,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:38.339858+00,2900000,33.9006,35.6178,0,1265
745,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:48:38.441216+00,90000,34.1236,35.6455,0,55
746,Jbeil,Jbeil,Mount Lebanon,Apartment,1,2025-03-16 14:48:38.534326+00,55000,34.1236,35.6455,1,68
747,Ras Beirut,Beirut,Beirut,Apartment,3,2025-03-16 14:48:38.633924+00,690000,33.8886,35.4955,3,174
748,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:48:38.731112+00,1100000,33.8886,35.4955,3,300
749,Dbayeh,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:38.816947+00,900000,33.9006,35.6178,0,1156
750,Al Jamhour,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:48:38.943058+00,650000,33.8333,35.5442,5,310
751,Gharzouz,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:39.109826+00,355000,34.1236,35.6455,0,3540
752,Blat,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:39.202374+00,192000,34.1236,35.6455,3,158
753,Batroun,Batroun,North,Apartment,3,2025-03-16 14:48:39.291741+00,400000,34.2556,35.6586,5,700
754,Blat,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:39.395571+00,165000,34.1236,35.6455,3,138
755,Batroun,Batroun,North,Apartment,1,2025-03-16 14:48:39.48394+00,88000,34.2556,35.6586,1,70
756,Zouk Mosbeh,Kesrouane,Mount Lebanon,Warehouse,1,2025-03-16 14:48:39.578517+00,325000,33.9808,35.6856,0,600
757,Batroun,Batroun,North,Apartment,1,2025-03-16 14:48:39.679853+00,95000,34.2556,35.6586,1,70
758,Baabda,Baabda,Mount Lebanon,Apartment,4,2025-03-16 14:48:39.774904+00,800000,33.8333,35.5442,7,330
759,Baabda,Baabda,Mount Lebanon,Apartment,4,2025-03-16 14:48:39.867998+00,900000,33.8333,35.5442,7,500
760,Jouret Al Ballout,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:39.962705+00,199000,33.9006,35.6178,2,150
761,Jouret Al Ballout,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:40.060105+00,179000,33.9006,35.6178,2,150
762,kfarhbeib,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:48:40.161519+00,250000,33.9808,35.6856,3,171
763,Batroun,Batroun,North,Apartment,3,2025-03-16 14:48:40.247161+00,175000,34.2556,35.6586,3,122
764,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:48:40.340295+00,460000,33.8886,35.4955,3,230
765,Blat,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:48:40.427312+00,135000,34.1236,35.6455,2,127
766,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:48:40.523989+00,1120000,33.8886,35.4955,5,373
767,Chekka,Batroun,North,Land,0,2025-03-16 14:48:40.624599+00,490000,34.2556,35.6586,0,4469
768,Batroun,Batroun,North,Apartment,2,2025-03-16 14:48:40.735718+00,105000,34.2556,35.6586,2,125
769,Gharzouz,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:40.825869+00,160000,34.1236,35.6455,0,3300
770,Dekweneh,El Metn,Mount Lebanon,Office,0,2025-03-16 14:48:40.921709+00,130000,33.9006,35.6178,0,65
771,Antelias,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:41.015629+00,3100000,33.9006,35.6178,0,2217
772,Monteverde,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:41.108976+00,445000,33.9006,35.6178,5,215
773,Hboub,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:48:41.200994+00,115000,34.1236,35.6455,2,118
774,Broumana,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:48:41.28732+00,250000,33.9006,35.6178,3,140
775,Al Jamhour,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:48:41.37445+00,340000,33.8333,35.5442,4,210
776,Batroun,Batroun,North,Commercial Building,0,2025-03-16 14:48:41.468317+00,3000000,34.2556,35.6586,0,1773
777,Rabieh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:41.557339+00,550000,33.9006,35.6178,4,340
778,okaybe,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:48:41.663585+00,85000,33.9808,35.6856,2,135
779,Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:48:41.757027+00,550000,33.9006,35.6178,4,310
780,Sahel Alma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:48:41.872057+00,160000,33.9808,35.6856,3,250
781,Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:48:42.000015+00,650000,33.9006,35.6178,4,320
782,Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:48:42.097758+00,650000,33.9006,35.6178,4,320
783,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:42.196664+00,155000,34.1236,35.6455,3,180
784,Jal el Dib,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:48:42.291968+00,265000,33.9006,35.6178,4,260
785,Halat,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:42.391075+00,150000,34.1236,35.6455,3,140
786,Hboub,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:48:42.483859+00,195000,34.1236,35.6455,2,130
787,Nabey,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:42.921758+00,168000,33.9006,35.6178,2,140
788,Nabey,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:48:43.022342+00,150000,33.9006,35.6178,2,125
789,Nabey,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:43.140334+00,246000,33.9006,35.6178,3,205
790,Jbeil,Jbeil,Mount Lebanon,Commercial Building,6,2025-03-16 14:48:43.234753+00,1600000,34.1236,35.6455,0,800
791,Mtayleb,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:43.330979+00,680000,33.9006,35.6178,0,995
792,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:48:43.425935+00,1050000,33.8886,35.4955,5,380
793,Rabweh,El Metn,Mount Lebanon,House/Villa,4,2025-03-16 14:48:43.531042+00,730000,33.9006,35.6178,4,500
794,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:48:43.647837+00,580000,33.8886,35.4955,2,212
795,Safra,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:48:43.752549+00,85000,33.9808,35.6856,2,105
796,Ghedras,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:48:43.845487+00,120000,33.9808,35.6856,3,240
797,Halat,Jbeil,Mount Lebanon,Chalet,1,2025-03-16 14:48:43.935966+00,50000,34.1236,35.6455,0,32
798,Bhorsaf,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:48:44.048383+00,135000,33.9006,35.6178,2,170
799,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:48:44.144449+00,1800000,33.8886,35.4955,4,370
800,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:48:44.262335+00,2000000,33.8886,35.4955,5,500
801,Louaize,Baabda,Mount Lebanon,Apartment,4,2025-03-16 14:48:44.357309+00,750000,33.8333,35.5442,5,427
802,Achrafieh,Beirut,Beirut,Office,1,2025-03-16 14:48:44.465723+00,250000,33.8886,35.4955,0,71
803,Zaarour,El Metn,Mount Lebanon,Chalet,2,2025-03-16 14:48:44.563719+00,300000,33.9006,35.6178,2,90
804,kfarhbeib,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:48:44.660306+00,450000,33.9808,35.6856,5,260
805,Mazraat Yachouh,El Metn,Mount Lebanon,Warehouse,1,2025-03-16 14:48:44.776194+00,165000,33.9006,35.6178,0,300
806,Fiyadiye,Baabda,Mount Lebanon,Apartment,2,2025-03-16 14:48:44.880317+00,160000,33.8333,35.5442,4,137
807,Down Town,Beirut,Beirut,Apartment,2,2025-03-16 14:48:45.050465+00,1200000,33.8886,35.4955,3,235
808,Aatchane,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:45.149642+00,209000,33.9006,35.6178,3,130
809,Aatchane,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:45.245132+00,242500,33.9006,35.6178,3,136
810,Aatchane,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:45.339847+00,205500,33.9006,35.6178,3,137
811,Blat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:45.439775+00,135000,34.1236,35.6455,0,760
812,Baabdat,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:45.54724+00,140000,33.9006,35.6178,3,180
813,Tabarja,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:48:45.649876+00,550000,33.9808,35.6856,2,110
814,Adma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:45.78789+00,2000000,33.9808,35.6856,0,1901
815,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:48:45.883201+00,135000,34.1236,35.6455,2,120
816,Mastita,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:45.983081+00,120000,34.1236,35.6455,2,145
817,Hazmieh,Baabda,Mount Lebanon,Land,0,2025-03-16 14:48:46.142653+00,2950000,33.8333,35.5442,0,1107
818,Achrafieh,Beirut,Beirut,Office,2,2025-03-16 14:48:46.260863+00,555000,33.8886,35.4955,0,222
819,Antelias,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:48:46.376304+00,120000,33.9006,35.6178,3,170
820,New Rawda,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:46.624141+00,125000,33.9006,35.6178,2,150
821,Achrafieh,Beirut,Beirut,Office,0,2025-03-16 14:48:46.76065+00,785000,33.8886,35.4955,0,224
822,Monteverde,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:46.861884+00,917600,33.9006,35.6178,0,1147
823,Kaslik,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:48:47.047652+00,215000,33.9808,35.6856,2,160
824,Kfour,Kesrouane,Mount Lebanon,Residential Building,0,2025-03-16 14:48:47.148109+00,800000,33.9808,35.6856,0,800
825,Aamchit,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:48:47.239065+00,90000,34.1236,35.6455,2,138
826,Dik El Mehdi,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:47.3363+00,310000,33.9006,35.6178,3,205
827,Mechmech,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:47.453087+00,150000,34.1236,35.6455,0,2600
828,Kfoun,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:47.654634+00,75000,34.1236,35.6455,0,1500
829,Batroun,Batroun,North,Land,0,2025-03-16 14:48:47.842957+00,1900000,34.2556,35.6586,0,2638
830,Monteverde,El Metn,Mount Lebanon,Office,1,2025-03-16 14:48:48.004564+00,80000,33.9006,35.6178,0,60
831,Rabweh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:48.123116+00,600000,33.9006,35.6178,4,300
832,Jal el Dib,El Metn,Mount Lebanon,Shop,0,2025-03-16 14:48:48.274854+00,90000,33.9006,35.6178,0,30
833,Jal el Dib,El Metn,Mount Lebanon,Shop,0,2025-03-16 14:48:48.403044+00,60000,33.9006,35.6178,0,20
834,Zalka,El Metn,Mount Lebanon,Warehouse,0,2025-03-16 14:48:48.514807+00,320000,33.9006,35.6178,0,376
835,Douar,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:48.610545+00,109000,33.9006,35.6178,2,130
836,Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:48.713926+00,430000,33.9006,35.6178,4,250
837,chnaniir,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:48.880259+00,1500000,33.9808,35.6856,0,10000
838,Adma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:48.973291+00,15000000,33.9808,35.6856,0,10000
839,Ghazir,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:49.069038+00,2500000,33.9808,35.6856,0,2791
840,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:48:49.239225+00,900000,33.8886,35.4955,4,280
841,Adma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:49.343215+00,1500000,33.9808,35.6856,0,1004
842,Aitat,Aley,Mount Lebanon,Land,0,2025-03-16 14:48:49.434929+00,430000,33.8056,35.5978,0,3460
843,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:48:49.52524+00,500000,33.8886,35.4955,3,150
844,Bouchrieh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:49.624904+00,270000,33.9006,35.6178,3,330
845,Ras Beirut,Beirut,Beirut,Apartment,3,2025-03-16 14:48:49.711732+00,850000,33.8886,35.4955,3,350
846,Batroun,Batroun,North,Apartment,3,2025-03-16 14:48:49.806287+00,105000,34.2556,35.6586,2,150
847,Batroun,Batroun,North,Apartment,3,2025-03-16 14:48:49.901674+00,175000,34.2556,35.6586,3,175
848,Jeita,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:49.99374+00,475000,33.9808,35.6856,0,1030
849,Adma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:50.089952+00,760000,33.9808,35.6856,0,1080
850,Adma,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:50.181203+00,720000,33.9808,35.6856,0,1021
851,Baabda,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:48:50.282812+00,850000,33.8333,35.5442,5,300
852,Ras Beirut,Beirut,Beirut,Apartment,3,2025-03-16 14:48:50.369911+00,795000,33.8886,35.4955,3,280
853,Monteverde,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:48:50.457082+00,820000,33.9006,35.6178,7,486
854,Bikfaya,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:50.557811+00,814000,33.9006,35.6178,0,3700
855,Jbeil,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:50.64913+00,212000,34.1236,35.6455,0,3255
856,Chabtine,Batroun,North,Land,0,2025-03-16 14:48:50.738507+00,100000,34.2556,35.6586,0,1280
857,Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:48:50.828652+00,156000,33.9808,35.6856,2,130
858,Halat,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:50.922797+00,165000,34.1236,35.6455,4,180
859,Fatqa,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:51.015192+00,1300000,33.9808,35.6856,0,4200
860,Jal el Dib,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:51.125562+00,175000,33.9006,35.6178,3,130
861,Ras Beirut,Beirut,Beirut,Warehouse,0,2025-03-16 14:48:51.222026+00,155000,33.8886,35.4955,0,140
862,Zouk Mosbeh,Kesrouane,Mount Lebanon,Shop,2,2025-03-16 14:48:51.313279+00,500000,33.9808,35.6856,0,500
863,Ghadir,Kesrouane,Mount Lebanon,Land,3,2025-03-16 14:48:51.470017+00,4600000,33.9808,35.6856,3,6019
864,Batroun,Batroun,North,Land,0,2025-03-16 14:48:51.565252+00,255000,34.2556,35.6586,0,1279
865,Ain Saadeh,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:48:51.654535+00,325000,33.9006,35.6178,4,200
866,Ras Beirut,Beirut,Beirut,Apartment,4,2025-03-16 14:48:51.740923+00,1200000,33.8886,35.4955,5,323
867,Sin El Fil,El Metn,Mount Lebanon,Office,1,2025-03-16 14:48:51.835016+00,96000,33.9006,35.6178,0,96
868,Zouk Mikael,Kesrouane,Mount Lebanon,Office,3,2025-03-16 14:48:51.92431+00,175000,33.9808,35.6856,0,115
869,Mreijat,Zahle,Bekaa,Land,0,2025-03-16 14:48:52.089154+00,220000,33.8461,35.9042,0,900
870,Ras Beirut,Beirut,Beirut,Office,3,2025-03-16 14:48:52.234435+00,800000,33.8886,35.4955,0,256
871,Ajaltoun,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:52.332755+00,350000,33.9808,35.6856,0,835
872,Monteverde,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:52.507748+00,400000,33.9006,35.6178,4,200
873,Horsh Tabet,El Metn,Mount Lebanon,Office,1,2025-03-16 14:48:52.606515+00,110000,33.9006,35.6178,0,50
874,Batroun,Batroun,North,Office,0,2025-03-16 14:48:52.740615+00,140000,34.2556,35.6586,0,75
875,Batroun,Batroun,North,Warehouse,0,2025-03-16 14:48:52.864868+00,233000,34.2556,35.6586,0,125
876,Batroun,Batroun,North,Warehouse,0,2025-03-16 14:48:52.962749+00,365000,34.2556,35.6586,0,195
877,Batroun,Batroun,North,Office,0,2025-03-16 14:48:53.079673+00,112000,34.2556,35.6586,0,60
878,Batroun,Batroun,North,Office,0,2025-03-16 14:48:53.183341+00,832000,34.2556,35.6586,0,83
879,Batroun,Batroun,North,Shop,0,2025-03-16 14:48:53.322591+00,820000,34.2556,35.6586,0,255
880,Batroun,Batroun,North,Office,0,2025-03-16 14:48:53.421136+00,109000,34.2556,35.6586,0,58
881,Batroun,Batroun,North,Shop,0,2025-03-16 14:48:53.528672+00,230000,34.2556,35.6586,0,72
882,Batroun,Batroun,North,Office,0,2025-03-16 14:48:53.700778+00,165000,34.2556,35.6586,0,88
883,Batroun,Batroun,North,Apartment,2,2025-03-16 14:48:53.910372+00,235000,34.2556,35.6586,3,125
884,Ain Saadeh,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:48:54.012776+00,410000,33.9006,35.6178,3,315
885,Ain Saadeh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:54.123028+00,390000,33.9006,35.6178,4,350
886,Fakra,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:54.239569+00,900000,33.9808,35.6856,0,800
887,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:48:54.344931+00,450000,33.8886,35.4955,3,185
888,Baabda,Baabda,Mount Lebanon,Warehouse,1,2025-03-16 14:48:54.522484+00,255000,33.8333,35.5442,0,300
889,Lehfed,Jbeil,Mount Lebanon,House/Villa,0,2025-03-16 14:48:54.627725+00,350000,34.1236,35.6455,0,1400
890,Adonis,Kesrouane,Mount Lebanon,Warehouse,3,2025-03-16 14:48:54.733143+00,220000,33.9808,35.6856,0,245
891,Batroun,Batroun,North,Land,0,2025-03-16 14:48:54.832321+00,620000,34.2556,35.6586,0,603
892,Dekweneh,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:54.938076+00,1500000,33.9006,35.6178,0,1056
893,Blat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:55.069442+00,825000,34.1236,35.6455,0,8220
894,Ras Beirut,Beirut,Beirut,Apartment,3,2025-03-16 14:48:55.171524+00,1200000,33.8886,35.4955,4,410
895,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:48:55.314383+00,400000,33.8886,35.4955,3,170
896,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:48:55.583614+00,675000,33.8886,35.4955,4,185
897,Chwaya,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:55.674356+00,500000,33.9006,35.6178,0,1005
898,Mansourieh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:55.768958+00,220000,33.9006,35.6178,3,200
899,Mansourieh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:55.862224+00,250000,33.9006,35.6178,3,190
900,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:48:55.970862+00,625000,34.1236,35.6455,2,180
901,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:56.069866+00,150000,34.1236,35.6455,3,165
902,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:56.170141+00,140000,34.1236,35.6455,3,140
903,Antelias,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:56.273384+00,5500000,33.9006,35.6178,0,2103
904,Antelias,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:56.368171+00,1800000,33.9006,35.6178,0,606
905,Jbeil,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:56.458916+00,150000,34.1236,35.6455,0,2830
906,Mkalles,El Metn,Mount Lebanon,Shop,1,2025-03-16 14:48:56.572986+00,350000,33.9006,35.6178,0,150
907,Faraya,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:56.662753+00,450000,33.9808,35.6856,0,825
908,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:56.756453+00,205000,34.1236,35.6455,4,180
909,Mansourieh,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:48:56.86894+00,195000,33.9006,35.6178,3,105
910,Edde,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:56.957846+00,170000,34.1236,35.6455,0,1561
911,Broumana,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:57.049319+00,700000,33.9006,35.6178,0,1547
912,kfarhbeib,Kesrouane,Mount Lebanon,Commercial Building,32,2025-03-16 14:48:57.153622+00,3075000,33.9808,35.6856,0,580
913,Blat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:57.26649+00,125000,34.1236,35.6455,0,836
914,Fidar,Jbeil,Mount Lebanon,House/Villa,4,2025-03-16 14:48:57.390656+00,850000,34.1236,35.6455,4,555
915,Mar Takla,Baabda,Mount Lebanon,Apartment,2,2025-03-16 14:48:57.493617+00,160000,33.8333,35.5442,3,130
916,Sin El Fil,El Metn,Mount Lebanon,Shop,1,2025-03-16 14:48:57.609179+00,160000,33.9006,35.6178,0,75
917,Broumana,El Metn,Mount Lebanon,Land,0,2025-03-16 14:48:57.699435+00,1400000,33.9006,35.6178,0,2300
918,Monteverde,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:57.798767+00,750000,33.9006,35.6178,4,300
919,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:57.890023+00,171000,34.1236,35.6455,3,155
920,Ain El Rihani,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:48:57.977765+00,450000,33.9808,35.6856,0,900
921,Fatqa,Kesrouane,Mount Lebanon,Apartment,4,2025-03-16 14:48:58.081432+00,245000,33.9808,35.6856,4,245
922,Achrafieh,Beirut,Beirut,Apartment,0,2025-03-16 14:48:58.181193+00,650000,33.8886,35.4955,0,241
923,Bentaael,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:48:58.273811+00,175000,34.1236,35.6455,3,180
924,Beit Meri,El Metn,Mount Lebanon,Shop,0,2025-03-16 14:48:58.361549+00,1900000,33.9006,35.6178,0,1000
925,Baabdat,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:58.457615+00,375000,33.9006,35.6178,4,240
926,Baabdat,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:58.551438+00,260000,33.9006,35.6178,4,170
927,Nahr Ibrahim,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:48:58.677771+00,135000,34.1236,35.6455,0,3935
928,Monteverde,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:58.776723+00,440000,33.9006,35.6178,4,210
929,Monteverde,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:48:58.86126+00,690000,33.9006,35.6178,6,314
