City,District,Province,Type,Size m²,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Majdel Tarchich,El Metn,Mount Lebanon,Land,800,0,0,75000,33.9006,35.6178
Salima,Baabda,Mount Lebanon,Land,950,0,0,320000,33.8333,35.5442
Zalka,El Metn,Mount Lebanon,Office,65,1,0,200000,33.9006,35.6178
Badaro,Beirut,Beirut,Apartment,200,3,2,600000,33.8886,35.4955
Majdel Tarchich,El Metn,Mount Lebanon,Land,750,0,0,32000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,166,2,2,120000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,240,4,4,150000,34.1236,35.6455
Jal el Dib,El Metn,Mount Lebanon,Office,80,1,0,175000,33.9006,35.6178
Jal el Dib,El Metn,Mount Lebanon,Shop,121,2,0,120000,33.9006,35.6178
Faraya,Kesrouane,Mount Lebanon,Chalet,120,3,2,275000,33.9808,35.6856
Aoukar,El Metn,Mount Lebanon,Land,774,0,0,619000,33.9006,35.6178
Aoukar,El Metn,Mount Lebanon,Land,1050,0,0,840000,33.9006,35.6178
Zaarour,El Metn,Mount Lebanon,House/Villa,155,3,3,380000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Shop,400,2,0,700000,33.9808,35.6856
Ras Beirut,Beirut,Beirut,Office,200,2,0,900000,33.8886,35.4955
Blat,Jbeil,Mount Lebanon,Land,970,0,0,185000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Land,1055,0,0,195000,34.1236,35.6455
Hazmieh,Baabda,Mount Lebanon,Office,100,1,0,135000,33.8333,35.5442
Klayaat,Kesrouane,Mount Lebanon,Land,1128,0,0,350000,33.9808,35.6856
Hboub,Jbeil,Mount Lebanon,Apartment,125,2,2,115000,34.1236,35.6455
Ain Saadeh,El Metn,Mount Lebanon,Apartment,200,3,4,360000,33.9006,35.6178
Ain Saadeh,El Metn,Mount Lebanon,Apartment,170,3,4,310000,33.9006,35.6178
Ain Saadeh,El Metn,Mount Lebanon,Apartment,161,3,3,280000,33.9006,35.6178
Kaslik,Kesrouane,Mount Lebanon,Chalet,100,2,1,470000,33.9808,35.6856
Rabweh,El Metn,Mount Lebanon,Apartment,525,4,5,1000000,33.9006,35.6178
Aatchane,El Metn,Mount Lebanon,Apartment,142,3,3,199000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Office,45,1,0,65000,34.1236,35.6455
Kornet Chehwan,El Metn,Mount Lebanon,Land,2335,3,0,2335000,33.9006,35.6178
Bouchrieh,El Metn,Mount Lebanon,Warehouse,212,1,0,200000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Land,1165,0,0,650000,33.9808,35.6856
Halat,Jbeil,Mount Lebanon,Apartment,120,2,2,115000,34.1236,35.6455
Mar Takla,Baabda,Mount Lebanon,Shop,80,2,0,525000,33.8333,35.5442
Mar Takla,Baabda,Mount Lebanon,Shop,40,1,0,280000,33.8333,35.5442
Bouchrieh,El Metn,Mount Lebanon,Warehouse,650,1,0,600000,33.9006,35.6178
Fakra,Kesrouane,Mount Lebanon,Chalet,123,2,2,350000,33.9808,35.6856
Sin El Fil,El Metn,Mount Lebanon,Shop,440,4,0,2200000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Land,3950,0,0,395000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,260,3,3,250000,34.1236,35.6455
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,150,3,3,135000,33.9808,35.6856
Edde,Jbeil,Mount Lebanon,Apartment,160,3,4,215000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Shop,110,1,0,300000,34.1236,35.6455
Hazmieh,Baabda,Mount Lebanon,Apartment,240,3,4,400000,33.8333,35.5442
Aamchit,Jbeil,Mount Lebanon,Apartment,200,3,3,200000,34.1236,35.6455
Baabdat,El Metn,Mount Lebanon,Apartment,160,3,3,230000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,250,3,3,350000,33.9006,35.6178
Aamchit,Jbeil,Mount Lebanon,Apartment,232,3,3,300000,34.1236,35.6455
Achkout,Kesrouane,Mount Lebanon,Apartment,100,2,2,120000,33.9808,35.6856
Hboub,Jbeil,Mount Lebanon,Apartment,124,3,2,120000,34.1236,35.6455
Wata El Joz,Kesrouane,Mount Lebanon,Land,1202,0,0,85000,33.9808,35.6856
Wata El Joz,Kesrouane,Mount Lebanon,Land,30617,0,0,2200000,33.9808,35.6856
Wata El Joz,Kesrouane,Mount Lebanon,Land,4239,0,0,300000,33.9808,35.6856
Wata El Joz,Kesrouane,Mount Lebanon,Land,14717,0,0,1030000,33.9808,35.6856
Badaro,Beirut,Beirut,Shop,290,2,0,650000,33.8886,35.4955
Hboub,Jbeil,Mount Lebanon,Apartment,175,3,3,150000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Apartment,135,2,2,135000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,170,3,3,190000,34.1236,35.6455
Hazmieh,Baabda,Mount Lebanon,Apartment,470,3,5,1250000,33.8333,35.5442
Achrafieh,Beirut,Beirut,Apartment,80,2,2,165000,33.8886,35.4955
Douar,El Metn,Mount Lebanon,Apartment,125,2,2,125000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Residential Building,126,0,0,550000,33.8886,35.4955
Antelias,El Metn,Mount Lebanon,Apartment,155,3,3,225000,33.9006,35.6178
Antelias,El Metn,Mount Lebanon,Apartment,135,2,2,165000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Land,380,0,0,325000,33.9006,35.6178
Wata El Joz,Kesrouane,Mount Lebanon,Land,861,0,0,250000,33.9808,35.6856
Faraya,Kesrouane,Mount Lebanon,Land,3200,0,0,1000000,33.9808,35.6856
Bsalim,El Metn,Mount Lebanon,Apartment,165,3,3,200000,33.9006,35.6178
Dekweneh,El Metn,Mount Lebanon,Office,95,1,0,300000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Land,1220,0,0,800000,33.9808,35.6856
Furn El Chebbak,Baabda,Mount Lebanon,Apartment,135,2,2,245000,33.8333,35.5442
chnaniir,Kesrouane,Mount Lebanon,Apartment,1100,4,6,4000000,33.9808,35.6856
Jal el Dib,El Metn,Mount Lebanon,Apartment,140,3,3,185000,33.9006,35.6178
Bhorsaf,El Metn,Mount Lebanon,Apartment,220,3,4,300000,33.9006,35.6178
Bhorsaf,El Metn,Mount Lebanon,Apartment,220,3,4,290000,33.9006,35.6178
Bhorsaf,El Metn,Mount Lebanon,Apartment,200,3,4,310000,33.9006,35.6178
Achkout,Kesrouane,Mount Lebanon,Apartment,440,5,7,460000,33.9808,35.6856
Antelias,El Metn,Mount Lebanon,Apartment,235,3,3,250000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,137,2,2,107000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,100,2,2,115000,34.1236,35.6455
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,252,3,4,425000,33.9006,35.6178
Sahel Alma,Kesrouane,Mount Lebanon,Land,2500,0,0,2000000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Apartment,150,2,3,250000,33.9808,35.6856
Bouchrieh,El Metn,Mount Lebanon,Shop,62,2,0,65000,33.9006,35.6178
Barbara,Jbeil,Mount Lebanon,Apartment,90,2,2,68000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Land,1500,0,0,850000,34.1236,35.6455
Kfarzebian,Kesrouane,Mount Lebanon,Chalet,100,2,1,165000,33.9808,35.6856
Ras Beirut,Beirut,Beirut,Shop,90,1,0,160000,33.8886,35.4955
Adma,Kesrouane,Mount Lebanon,Apartment,170,3,4,315000,33.9808,35.6856
Jdeideh,El Metn,Mount Lebanon,Apartment,155,3,2,210000,33.9006,35.6178
Shayle,Kesrouane,Mount Lebanon,Apartment,150,3,3,185000,33.9808,35.6856
Shayle,Kesrouane,Mount Lebanon,Warehouse,400,0,0,185000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Apartment,110,2,2,67000,34.1236,35.6455
Kaslik,Kesrouane,Mount Lebanon,Chalet,57,1,1,275000,33.9808,35.6856
Roumie,El Metn,Mount Lebanon,Land,1380,0,0,1240000,33.9006,35.6178
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,170,2,2,130000,33.9808,35.6856
Naccache,El Metn,Mount Lebanon,House/Villa,500,4,5,1000000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,210,3,3,730000,33.8886,35.4955
Yarzeh,Baabda,Mount Lebanon,Apartment,380,3,4,820000,33.8333,35.5442
Achrafieh,Beirut,Beirut,Apartment,170,3,3,510000,33.8886,35.4955
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,120,2,2,130000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,170,3,3,170000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,170,3,3,170000,33.9006,35.6178
Nabey,El Metn,Mount Lebanon,Apartment,160,3,3,210000,33.9006,35.6178
Nabey,El Metn,Mount Lebanon,Apartment,165,3,3,220000,33.9006,35.6178
Nabey,El Metn,Mount Lebanon,Apartment,160,3,3,210000,33.9006,35.6178
Nabey,El Metn,Mount Lebanon,Apartment,320,4,5,325000,33.9006,35.6178
Hazmieh,Baabda,Mount Lebanon,Land,1360,0,0,1050000,33.8333,35.5442
Dbayeh,El Metn,Mount Lebanon,Apartment,230,3,3,350000,33.9006,35.6178
Dbayeh,El Metn,Mount Lebanon,Warehouse,617,1,0,500000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Land,1600,0,0,850000,34.1236,35.6455
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,220,4,4,350000,33.9006,35.6178
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,220,4,4,350000,33.9006,35.6178
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,200,3,4,300000,33.9006,35.6178
Yarzeh,Baabda,Mount Lebanon,Apartment,400,4,5,1150000,33.8333,35.5442
Ballouneh,Kesrouane,Mount Lebanon,Apartment,160,3,3,235000,33.9808,35.6856
Ballouneh,Kesrouane,Mount Lebanon,Apartment,145,3,3,190000,33.9808,35.6856
Ballouneh,Kesrouane,Mount Lebanon,Apartment,145,3,3,295000,33.9808,35.6856
Ballouneh,Kesrouane,Mount Lebanon,Apartment,145,3,3,190000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Apartment,120,2,2,135000,34.1236,35.6455
Qannabet Broumana,El Metn,Mount Lebanon,Apartment,220,4,3,280000,33.9006,35.6178
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,300,3,5,650000,33.9808,35.6856
Aoukar,El Metn,Mount Lebanon,Warehouse,300,1,0,80000,33.9006,35.6178
Fatqa,Kesrouane,Mount Lebanon,Apartment,275,2,3,325000,33.9808,35.6856
Ain El Rihani,Kesrouane,Mount Lebanon,Land,2308,0,0,460000,33.9808,35.6856
Dbayeh,El Metn,Mount Lebanon,Commercial Building,3200,6,0,9000000,33.9006,35.6178
Ghazir,Kesrouane,Mount Lebanon,House/Villa,1000,6,9,2900000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,120,2,2,200000,33.8886,35.4955
Jounieh,Kesrouane,Mount Lebanon,Chalet,75,2,2,165000,33.9808,35.6856
Ain Saadeh,El Metn,Mount Lebanon,Apartment,250,4,4,300000,33.9006,35.6178
Ballouneh,Kesrouane,Mount Lebanon,Shop,86,1,0,150000,33.9808,35.6856
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,220,3,3,390000,33.9006,35.6178
Aabrine,Batroun,North,Land,816,0,0,80000,34.2556,35.6586
Bsalim,El Metn,Mount Lebanon,Apartment,250,4,4,350000,33.9006,35.6178
Jdeideh,El Metn,Mount Lebanon,Apartment,220,3,3,280000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,180,3,3,200000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,165,3,4,240000,33.9006,35.6178
Tabarja,Kesrouane,Mount Lebanon,Chalet,40,1,0,130000,33.9808,35.6856
Maaysra,Kesrouane,Mount Lebanon,Apartment,165,3,4,149000,33.9808,35.6856
Maaysra,Kesrouane,Mount Lebanon,Apartment,165,3,4,158000,33.9808,35.6856
Maaysra,Kesrouane,Mount Lebanon,Apartment,165,3,4,166000,33.9808,35.6856
Beit el Chaar,El Metn,Mount Lebanon,Apartment,200,3,4,325000,33.9006,35.6178
Beit el Chaar,El Metn,Mount Lebanon,Apartment,200,3,4,300000,33.9006,35.6178
Kfar Aabida,Batroun,North,Apartment,320,2,3,480000,34.2556,35.6586
Jal el Dib,El Metn,Mount Lebanon,Apartment,170,2,2,200000,33.9006,35.6178
Biyada,El Metn,Mount Lebanon,Apartment,400,3,3,800000,33.9006,35.6178
Kornet Chehwan,El Metn,Mount Lebanon,Apartment,360,3,4,550000,33.9006,35.6178
