City,District,Province,Type,Size m²,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Sin El Fil,El Metn,Mount Lebanon,Land,1265,0,0,2900000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,55,2,0,90000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,68,1,1,55000,34.1236,35.6455
Ras Beirut,Beirut,Beirut,Apartment,174,3,3,690000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,300,3,3,1100000,33.8886,35.4955
Dbayeh,El Metn,Mount Lebanon,Land,1156,0,0,900000,33.9006,35.6178
Al Jamhour,Baabda,Mount Lebanon,Apartment,310,3,5,650000,33.8333,35.5442
Gharzouz,Jbeil,Mount Lebanon,Land,3540,0,0,355000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Apartment,158,3,3,192000,34.1236,35.6455
Batroun,Batroun,North,Apartment,700,3,5,400000,34.2556,35.6586
Blat,Jbeil,Mount Lebanon,Apartment,138,3,3,165000,34.1236,35.6455
Batroun,Batroun,North,Apartment,70,1,1,88000,34.2556,35.6586
Zouk Mosbeh,Kesrouane,Mount Lebanon,Warehouse,600,1,0,325000,33.9808,35.6856
Batroun,Batroun,North,Apartment,70,1,1,95000,34.2556,35.6586
Baabda,Baabda,Mount Lebanon,Apartment,330,4,7,800000,33.8333,35.5442
Baabda,Baabda,Mount Lebanon,Apartment,500,4,7,900000,33.8333,35.5442
Jouret Al Ballout,El Metn,Mount Lebanon,Apartment,150,3,2,199000,33.9006,35.6178
Jouret Al Ballout,El Metn,Mount Lebanon,Apartment,150,3,2,179000,33.9006,35.6178
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,171,3,3,250000,33.9808,35.6856
Batroun,Batroun,North,Apartment,122,3,3,175000,34.2556,35.6586
Achrafieh,Beirut,Beirut,Apartment,230,3,3,460000,33.8886,35.4955
Blat,Jbeil,Mount Lebanon,Apartment,127,2,2,135000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,373,4,5,1120000,33.8886,35.4955
Chekka,Batroun,North,Land,4469,0,0,490000,34.2556,35.6586
Batroun,Batroun,North,Apartment,125,2,2,105000,34.2556,35.6586
Gharzouz,Jbeil,Mount Lebanon,Land,3300,0,0,160000,34.1236,35.6455
Dekweneh,El Metn,Mount Lebanon,Office,65,0,0,130000,33.9006,35.6178
Antelias,El Metn,Mount Lebanon,Land,2217,0,0,3100000,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,215,3,5,445000,33.9006,35.6178
Hboub,Jbeil,Mount Lebanon,Apartment,118,2,2,115000,34.1236,35.6455
Broumana,El Metn,Mount Lebanon,Apartment,140,2,3,250000,33.9006,35.6178
Al Jamhour,Baabda,Mount Lebanon,Apartment,210,3,4,340000,33.8333,35.5442
Batroun,Batroun,North,Commercial Building,1773,0,0,3000000,34.2556,35.6586
Rabieh,El Metn,Mount Lebanon,Apartment,340,3,4,550000,33.9006,35.6178
okaybe,Kesrouane,Mount Lebanon,Apartment,135,2,2,85000,33.9808,35.6856
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,310,4,4,550000,33.9006,35.6178
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,250,3,3,160000,33.9808,35.6856
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,320,4,4,650000,33.9006,35.6178
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,320,4,4,650000,33.9006,35.6178
Hboub,Jbeil,Mount Lebanon,Apartment,180,3,3,155000,34.1236,35.6455
Jal el Dib,El Metn,Mount Lebanon,Apartment,260,4,4,265000,33.9006,35.6178
Halat,Jbeil,Mount Lebanon,Apartment,140,3,3,150000,34.1236,35.6455
Hboub,Jbeil,Mount Lebanon,Apartment,130,2,2,195000,34.1236,35.6455
Nabey,El Metn,Mount Lebanon,Apartment,140,3,2,168000,33.9006,35.6178
Nabey,El Metn,Mount Lebanon,Apartment,125,2,2,150000,33.9006,35.6178
Nabey,El Metn,Mount Lebanon,Apartment,205,3,3,246000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Commercial Building,800,6,0,1600000,34.1236,35.6455
Mtayleb,El Metn,Mount Lebanon,Land,995,0,0,680000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,380,4,5,1050000,33.8886,35.4955
Rabweh,El Metn,Mount Lebanon,House/Villa,500,4,4,730000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,212,3,2,580000,33.8886,35.4955
Safra,Kesrouane,Mount Lebanon,Apartment,105,2,2,85000,33.9808,35.6856
Ghedras,Kesrouane,Mount Lebanon,Apartment,240,3,3,120000,33.9808,35.6856
Halat,Jbeil,Mount Lebanon,Chalet,32,1,0,50000,34.1236,35.6455
Bhorsaf,El Metn,Mount Lebanon,Apartment,170,2,2,135000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,370,3,4,1800000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,500,4,5,2000000,33.8886,35.4955
Louaize,Baabda,Mount Lebanon,Apartment,427,4,5,750000,33.8333,35.5442
Achrafieh,Beirut,Beirut,Office,71,1,0,250000,33.8886,35.4955
Zaarour,El Metn,Mount Lebanon,Chalet,90,2,2,300000,33.9006,35.6178
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,260,3,5,450000,33.9808,35.6856
Mazraat Yachouh,El Metn,Mount Lebanon,Warehouse,300,1,0,165000,33.9006,35.6178
Fiyadiye,Baabda,Mount Lebanon,Apartment,137,2,4,160000,33.8333,35.5442
Down Town,Beirut,Beirut,Apartment,235,2,3,1200000,33.8886,35.4955
Aatchane,El Metn,Mount Lebanon,Apartment,130,3,3,209000,33.9006,35.6178
Aatchane,El Metn,Mount Lebanon,Apartment,136,3,3,242500,33.9006,35.6178
Aatchane,El Metn,Mount Lebanon,Apartment,137,3,3,205500,33.9006,35.6178
Blat,Jbeil,Mount Lebanon,Land,760,0,0,135000,34.1236,35.6455
Baabdat,El Metn,Mount Lebanon,Apartment,180,3,3,140000,33.9006,35.6178
Tabarja,Kesrouane,Mount Lebanon,Apartment,110,2,2,550000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Land,1901,0,0,2000000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Apartment,120,2,2,135000,34.1236,35.6455
Mastita,Jbeil,Mount Lebanon,Apartment,145,3,2,120000,34.1236,35.6455
Hazmieh,Baabda,Mount Lebanon,Land,1107,0,0,2950000,33.8333,35.5442
Achrafieh,Beirut,Beirut,Office,222,2,0,555000,33.8886,35.4955
Antelias,El Metn,Mount Lebanon,Apartment,170,2,3,120000,33.9006,35.6178
New Rawda,El Metn,Mount Lebanon,Apartment,150,3,2,125000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Office,224,0,0,785000,33.8886,35.4955
Monteverde,El Metn,Mount Lebanon,Land,1147,0,0,917600,33.9006,35.6178
Kaslik,Kesrouane,Mount Lebanon,Apartment,160,2,2,215000,33.9808,35.6856
Kfour,Kesrouane,Mount Lebanon,Residential Building,800,0,0,800000,33.9808,35.6856
Aamchit,Jbeil,Mount Lebanon,Apartment,138,2,2,90000,34.1236,35.6455
Dik El Mehdi,El Metn,Mount Lebanon,Apartment,205,3,3,310000,33.9006,35.6178
Mechmech,Jbeil,Mount Lebanon,Land,2600,0,0,150000,34.1236,35.6455
Kfoun,Jbeil,Mount Lebanon,Land,1500,0,0,75000,34.1236,35.6455
Batroun,Batroun,North,Land,2638,0,0,1900000,34.2556,35.6586
Monteverde,El Metn,Mount Lebanon,Office,60,1,0,80000,33.9006,35.6178
Rabweh,El Metn,Mount Lebanon,Apartment,300,3,4,600000,33.9006,35.6178
Jal el Dib,El Metn,Mount Lebanon,Shop,30,0,0,90000,33.9006,35.6178
Jal el Dib,El Metn,Mount Lebanon,Shop,20,0,0,60000,33.9006,35.6178
Zalka,El Metn,Mount Lebanon,Warehouse,376,0,0,320000,33.9006,35.6178
Douar,El Metn,Mount Lebanon,Apartment,130,3,2,109000,33.9006,35.6178
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,250,3,4,430000,33.9006,35.6178
chnaniir,Kesrouane,Mount Lebanon,Land,10000,0,0,1500000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Land,10000,0,0,15000000,33.9808,35.6856
Ghazir,Kesrouane,Mount Lebanon,Land,2791,0,0,2500000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,280,3,4,900000,33.8886,35.4955
Adma,Kesrouane,Mount Lebanon,Land,1004,0,0,1500000,33.9808,35.6856
Aitat,Aley,Mount Lebanon,Land,3460,0,0,430000,33.8056,35.5978
Achrafieh,Beirut,Beirut,Apartment,150,2,3,500000,33.8886,35.4955
Bouchrieh,El Metn,Mount Lebanon,Apartment,330,3,3,270000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,350,3,3,850000,33.8886,35.4955
Batroun,Batroun,North,Apartment,150,3,2,105000,34.2556,35.6586
Batroun,Batroun,North,Apartment,175,3,3,175000,34.2556,35.6586
Jeita,Kesrouane,Mount Lebanon,Land,1030,0,0,475000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Land,1080,0,0,760000,33.9808,35.6856
Adma,Kesrouane,Mount Lebanon,Land,1021,0,0,720000,33.9808,35.6856
Baabda,Baabda,Mount Lebanon,Apartment,300,3,5,850000,33.8333,35.5442
Ras Beirut,Beirut,Beirut,Apartment,280,3,3,795000,33.8886,35.4955
Monteverde,El Metn,Mount Lebanon,Apartment,486,4,7,820000,33.9006,35.6178
Bikfaya,El Metn,Mount Lebanon,Land,3700,0,0,814000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Land,3255,0,0,212000,34.1236,35.6455
Chabtine,Batroun,North,Land,1280,0,0,100000,34.2556,35.6586
Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,130,2,2,156000,33.9808,35.6856
Halat,Jbeil,Mount Lebanon,Apartment,180,3,4,165000,34.1236,35.6455
Fatqa,Kesrouane,Mount Lebanon,Land,4200,0,0,1300000,33.9808,35.6856
Jal el Dib,El Metn,Mount Lebanon,Apartment,130,3,3,175000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Warehouse,140,0,0,155000,33.8886,35.4955
Zouk Mosbeh,Kesrouane,Mount Lebanon,Shop,500,2,0,500000,33.9808,35.6856
Ghadir,Kesrouane,Mount Lebanon,Land,6019,3,3,4600000,33.9808,35.6856
Batroun,Batroun,North,Land,1279,0,0,255000,34.2556,35.6586
Ain Saadeh,El Metn,Mount Lebanon,Apartment,200,4,4,325000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,323,4,5,1200000,33.8886,35.4955
Sin El Fil,El Metn,Mount Lebanon,Office,96,1,0,96000,33.9006,35.6178
Zouk Mikael,Kesrouane,Mount Lebanon,Office,115,3,0,175000,33.9808,35.6856
Mreijat,Zahle,Bekaa,Land,900,0,0,220000,33.8461,35.9042
Ras Beirut,Beirut,Beirut,Office,256,3,0,800000,33.8886,35.4955
Ajaltoun,Kesrouane,Mount Lebanon,Land,835,0,0,350000,33.9808,35.6856
Monteverde,El Metn,Mount Lebanon,Apartment,200,3,4,400000,33.9006,35.6178
Horsh Tabet,El Metn,Mount Lebanon,Office,50,1,0,110000,33.9006,35.6178
Batroun,Batroun,North,Office,75,0,0,140000,34.2556,35.6586
Batroun,Batroun,North,Warehouse,125,0,0,233000,34.2556,35.6586
Batroun,Batroun,North,Warehouse,195,0,0,365000,34.2556,35.6586
Batroun,Batroun,North,Office,60,0,0,112000,34.2556,35.6586
Batroun,Batroun,North,Office,83,0,0,832000,34.2556,35.6586
Batroun,Batroun,North,Shop,255,0,0,820000,34.2556,35.6586
Batroun,Batroun,North,Office,58,0,0,109000,34.2556,35.6586
Batroun,Batroun,North,Shop,72,0,0,230000,34.2556,35.6586
Batroun,Batroun,North,Office,88,0,0,165000,34.2556,35.6586
Batroun,Batroun,North,Apartment,125,2,3,235000,34.2556,35.6586
Ain Saadeh,El Metn,Mount Lebanon,Apartment,315,2,3,410000,33.9006,35.6178
Ain Saadeh,El Metn,Mount Lebanon,Apartment,350,3,4,390000,33.9006,35.6178
Fakra,Kesrouane,Mount Lebanon,Land,800,0,0,900000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,185,3,3,450000,33.8886,35.4955
Baabda,Baabda,Mount Lebanon,Warehouse,300,1,0,255000,33.8333,35.5442
Lehfed,Jbeil,Mount Lebanon,House/Villa,1400,0,0,350000,34.1236,35.6455
Adonis,Kesrouane,Mount Lebanon,Warehouse,245,3,0,220000,33.9808,35.6856
Batroun,Batroun,North,Land,603,0,0,620000,34.2556,35.6586
Dekweneh,El Metn,Mount Lebanon,Land,1056,0,0,1500000,33.9006,35.6178
Blat,Jbeil,Mount Lebanon,Land,8220,0,0,825000,34.1236,35.6455
Ras Beirut,Beirut,Beirut,Apartment,410,3,4,1200000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,170,3,3,400000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,185,2,4,675000,33.8886,35.4955
Chwaya,El Metn,Mount Lebanon,Land,1005,0,0,500000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,200,3,3,220000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,190,3,3,250000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,180,2,2,625000,34.1236,35.6455
Hboub,Jbeil,Mount Lebanon,Apartment,165,3,3,150000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,140,3,3,140000,34.1236,35.6455
Antelias,El Metn,Mount Lebanon,Land,2103,0,0,5500000,33.9006,35.6178
Antelias,El Metn,Mount Lebanon,Land,606,0,0,1800000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Land,2830,0,0,150000,34.1236,35.6455
Mkalles,El Metn,Mount Lebanon,Shop,150,1,0,350000,33.9006,35.6178
Faraya,Kesrouane,Mount Lebanon,Land,825,0,0,450000,33.9808,35.6856
Hboub,Jbeil,Mount Lebanon,Apartment,180,3,4,205000,34.1236,35.6455
Mansourieh,El Metn,Mount Lebanon,Apartment,105,2,3,195000,33.9006,35.6178
Edde,Jbeil,Mount Lebanon,Land,1561,0,0,170000,34.1236,35.6455
Broumana,El Metn,Mount Lebanon,Land,1547,0,0,700000,33.9006,35.6178
kfarhbeib,Kesrouane,Mount Lebanon,Commercial Building,580,32,0,3075000,33.9808,35.6856
Blat,Jbeil,Mount Lebanon,Land,836,0,0,125000,34.1236,35.6455
Fidar,Jbeil,Mount Lebanon,House/Villa,555,4,4,850000,34.1236,35.6455
Mar Takla,Baabda,Mount Lebanon,Apartment,130,2,3,160000,33.8333,35.5442
Sin El Fil,El Metn,Mount Lebanon,Shop,75,1,0,160000,33.9006,35.6178
Broumana,El Metn,Mount Lebanon,Land,2300,0,0,1400000,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,300,3,4,750000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,155,3,3,171000,34.1236,35.6455
Ain El Rihani,Kesrouane,Mount Lebanon,Land,900,0,0,450000,33.9808,35.6856
Fatqa,Kesrouane,Mount Lebanon,Apartment,245,4,4,245000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,241,0,0,650000,33.8886,35.4955
Bentaael,Jbeil,Mount Lebanon,Apartment,180,3,3,175000,34.1236,35.6455
Beit Meri,El Metn,Mount Lebanon,Shop,1000,0,0,1900000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,240,3,4,375000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,170,3,4,260000,33.9006,35.6178
Nahr Ibrahim,Jbeil,Mount Lebanon,Land,3935,0,0,135000,34.1236,35.6455
Monteverde,El Metn,Mount Lebanon,Apartment,210,3,4,440000,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,314,3,6,690000,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,190,3,4,465000,33.9006,35.6178
Halat,Jbeil,Mount Lebanon,Apartment,115,2,3,95000,34.1236,35.6455
Berbara,Batroun,North,Land,1200,0,0,300000,34.2556,35.6586
Berbara,Batroun,North,Land,4300,0,0,1075000,34.2556,35.6586
Berbara,Batroun,North,Land,2067,0,0,516750,34.2556,35.6586
Berbara,Batroun,North,Land,4600,0,0,1150000,34.2556,35.6586
Monsef,Jbeil,Mount Lebanon,Land,9400,0,0,6110000,34.1236,35.6455
Edde,Jbeil,Mount Lebanon,Land,1340,0,0,270000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,310,4,3,350000,34.1236,35.6455
Beit Meri,El Metn,Mount Lebanon,Apartment,110,2,3,165000,33.9006,35.6178
Beit Meri,El Metn,Mount Lebanon,Apartment,170,3,4,328000,33.9006,35.6178
Beit Meri,El Metn,Mount Lebanon,Apartment,170,3,4,258400,33.9006,35.6178
Aamchit,Jbeil,Mount Lebanon,Apartment,160,3,3,220000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,250,3,3,370000,33.8886,35.4955
Ain El Rimmaneh,Aley,Mount Lebanon,Apartment,162,3,3,250000,33.8056,35.5978
Mrouj,El Metn,Mount Lebanon,Land,1000,0,0,295000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,160,3,3,200000,33.9006,35.6178
Hasbaya,Hasbaya,Nabatieh,Land,760,0,0,69500,33.3979,35.6852
Aamchit,Jbeil,Mount Lebanon,Apartment,100,2,1,80000,34.1236,35.6455
Mansourieh,El Metn,Mount Lebanon,Shop,80,1,0,140000,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,390,4,6,850000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,180,3,4,200000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,130,2,2,150000,33.9006,35.6178
Batha,Kesrouane,Mount Lebanon,Land,2322,0,0,420000,33.9808,35.6856
Sin El Fil,El Metn,Mount Lebanon,Office,225,1,0,550000,33.9006,35.6178
Zouk Mikael,Kesrouane,Mount Lebanon,Shop,80,1,0,215000,33.9808,35.6856
Lehfed,Jbeil,Mount Lebanon,Land,1000,0,0,70000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Land,533,0,0,53000,34.1236,35.6455
Fakra,Kesrouane,Mount Lebanon,Chalet,120,2,2,375000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Shop,71,1,1,200000,33.8886,35.4955
kfarhbeib,Kesrouane,Mount Lebanon,Land,1239,0,0,600000,33.9808,35.6856
Rabieh,El Metn,Mount Lebanon,Land,915,0,0,2700000,33.9006,35.6178
Ajaltoun,Kesrouane,Mount Lebanon,Land,1250,0,0,175000,33.9808,35.6856
Mansourieh,El Metn,Mount Lebanon,Apartment,122,2,3,208000,33.9006,35.6178
Chouf,Chouf,Mount Lebanon,Land,300,0,0,60000,33.6947,35.5792
Jnah,Beirut,Beirut,Chalet,95,1,2,1150000,33.8886,35.4955
Fatqa,Kesrouane,Mount Lebanon,Apartment,100,2,2,95000,33.9808,35.6856
Zalka,El Metn,Mount Lebanon,Apartment,165,3,2,154000,33.9006,35.6178
Jounieh,Kesrouane,Mount Lebanon,Apartment,250,3,3,385000,33.9808,35.6856
Baabdat,El Metn,Mount Lebanon,Apartment,110,2,3,230000,33.9006,35.6178
Mradiye,Kesrouane,Mount Lebanon,Land,900,0,0,95000,33.9808,35.6856
Mar Moussa,El Metn,Mount Lebanon,Apartment,160,3,2,220000,33.9006,35.6178
Kfoun,Jbeil,Mount Lebanon,Land,3000,0,0,500000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Apartment,110,2,2,135000,34.1236,35.6455
Haqel,Jbeil,Mount Lebanon,Land,530,0,0,65000,34.1236,35.6455
Fidar,Jbeil,Mount Lebanon,Land,810,0,0,400000,34.1236,35.6455
Batroun,Batroun,North,House/Villa,269,3,5,710000,34.2556,35.6586
Dbayeh,El Metn,Mount Lebanon,Apartment,300,3,3,400000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Land,4000,0,0,2600000,33.9006,35.6178
Shayle,Kesrouane,Mount Lebanon,Apartment,188,3,3,245000,33.9808,35.6856
Tabarja,Kesrouane,Mount Lebanon,Chalet,85,2,2,650000,33.9808,35.6856
Jeita,Kesrouane,Mount Lebanon,Warehouse,178,1,0,135000,33.9808,35.6856
Jeita,Kesrouane,Mount Lebanon,Shop,273,1,0,220000,33.9808,35.6856
bakish,Kesrouane,Mount Lebanon,Land,1800,0,0,240000,33.9808,35.6856
Kfour,Kesrouane,Mount Lebanon,Land,702,0,0,185000,33.9808,35.6856
Dbayeh,El Metn,Mount Lebanon,Apartment,180,2,3,750000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,155,3,3,250000,33.9006,35.6178
Dbayeh,El Metn,Mount Lebanon,Land,592,0,0,700000,33.9006,35.6178
Jounieh,Kesrouane,Mount Lebanon,Chalet,85,1,1,165000,33.9808,35.6856
Bikfaya,El Metn,Mount Lebanon,Land,750,0,0,680000,33.9006,35.6178
Shayle,Kesrouane,Mount Lebanon,Apartment,300,3,4,250000,33.9808,35.6856
Naccache,El Metn,Mount Lebanon,Shop,461,0,0,600000,33.9006,35.6178
Naccache,El Metn,Mount Lebanon,Land,755,0,0,800000,33.9006,35.6178
Naccache,El Metn,Mount Lebanon,Shop,757,0,0,1500000,33.9006,35.6178
Faraya,Kesrouane,Mount Lebanon,Chalet,90,2,1,165000,33.9808,35.6856
Mayrouba,Kesrouane,Mount Lebanon,Land,586,0,0,210000,33.9808,35.6856
Sin El Fil,El Metn,Mount Lebanon,Office,370,4,0,1000000,33.9006,35.6178
Aamchit,Jbeil,Mount Lebanon,Apartment,120,2,2,85000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,220,3,3,250000,34.1236,35.6455
Batroun,Batroun,North,Apartment,165,3,3,140000,34.2556,35.6586
Ras Beirut,Beirut,Beirut,Apartment,257,4,3,240000,33.8886,35.4955
Dora,El Metn,Mount Lebanon,Shop,600,3,0,1200000,33.9006,35.6178
Aatchane,El Metn,Mount Lebanon,Apartment,270,3,3,700000,33.9006,35.6178
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,240,3,5,550000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,240,3,5,450000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,245,3,5,500000,33.9808,35.6856
Mechmech,Jbeil,Mount Lebanon,Apartment,100,2,2,90000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Apartment,150,3,2,145000,34.1236,35.6455
Aoukar,El Metn,Mount Lebanon,Apartment,350,3,5,245000,33.9006,35.6178
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,220,3,3,160000,33.9808,35.6856
Aannaya,Jbeil,Mount Lebanon,Land,1400,0,0,110000,34.1236,35.6455
Down Town,Beirut,Beirut,Shop,867,4,1,6405000,33.8886,35.4955
Down Town,Beirut,Beirut,Shop,972,1,0,7935000,33.8886,35.4955
Jeita,Kesrouane,Mount Lebanon,Apartment,200,2,5,285000,33.9808,35.6856
Badaro,Beirut,Beirut,Apartment,350,3,6,800000,33.8886,35.4955
Zalka,El Metn,Mount Lebanon,Shop,140,2,0,290000,33.9006,35.6178
Batroun,Batroun,North,Land,8506,0,0,300000,34.2556,35.6586
Tannourine,Batroun,North,Land,1130,0,0,250000,34.2556,35.6586
Deir Al Qamar,Chouf,Mount Lebanon,Land,4442,0,0,666300,33.6947,35.5792
Aamchit,Jbeil,Mount Lebanon,Commercial Building,1000,0,0,1400000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Office,150,0,0,525000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Office,201,0,0,705000,33.8886,35.4955
Adma,Kesrouane,Mount Lebanon,Shop,180,2,0,350000,33.9808,35.6856
Monteverde,El Metn,Mount Lebanon,Apartment,211,3,3,353500,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,207,3,3,363500,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,245,4,3,800000,33.8886,35.4955
Monteverde,El Metn,Mount Lebanon,Apartment,211,3,3,316500,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,207,3,3,403000,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,360,4,5,648000,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,Apartment,309,4,5,600600,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Apartment,160,3,3,180000,33.9808,35.6856
Ras Beirut,Beirut,Beirut,Apartment,190,3,2,385000,33.8886,35.4955
Adma,Kesrouane,Mount Lebanon,Apartment,200,3,4,250000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,140,3,2,180000,33.8886,35.4955
Ajaltoun,Kesrouane,Mount Lebanon,Land,1790,0,0,580000,33.9808,35.6856
Laqlouq,Jbeil,Mount Lebanon,Land,1000,0,0,60000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Apartment,202,3,4,225000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,150,3,2,165000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Land,810,0,0,680000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Land,1988,0,0,500000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,146,2,2,150000,34.1236,35.6455
Jdeideh,El Metn,Mount Lebanon,Apartment,190,3,3,225000,33.9006,35.6178
Sahel Alma,Kesrouane,Mount Lebanon,Land,785,0,0,620000,33.9808,35.6856
Sarba,Kesrouane,Mount Lebanon,Warehouse,1000,2,0,450000,33.9808,35.6856
Aamchit,Jbeil,Mount Lebanon,Apartment,105,3,2,80000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,Apartment,150,2,3,185000,34.1236,35.6455
Ghosta,Kesrouane,Mount Lebanon,Land,1750,0,0,250000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Shop,150,1,0,600000,33.8886,35.4955
Aannaya,Jbeil,Mount Lebanon,Chalet,65,1,1,65000,34.1236,35.6455
Mkalles,El Metn,Mount Lebanon,Office,150,2,0,250000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,300,3,3,250000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Office,65,1,0,100000,34.1236,35.6455
Haqel,Jbeil,Mount Lebanon,House/Villa,120,2,1,90000,34.1236,35.6455
Jdayel,Jbeil,Mount Lebanon,Apartment,133,3,3,185000,34.1236,35.6455
Jdayel,Jbeil,Mount Lebanon,Apartment,133,3,3,190000,34.1236,35.6455
Fatqa,Kesrouane,Mount Lebanon,Office,65,2,0,200000,33.9808,35.6856
Fatqa,Kesrouane,Mount Lebanon,Office,60,2,0,175000,33.9808,35.6856
Fatqa,Kesrouane,Mount Lebanon,Office,100,2,0,140000,33.9808,35.6856
Fatqa,Kesrouane,Mount Lebanon,Residential Building,1000,0,0,500000,33.9808,35.6856
Fatqa,Kesrouane,Mount Lebanon,Land,915,0,0,375000,33.9808,35.6856
Rabieh,El Metn,Mount Lebanon,Apartment,175,3,3,225000,33.9006,35.6178
Rabieh,El Metn,Mount Lebanon,Warehouse,700,1,0,475000,33.9006,35.6178
Achkout,Kesrouane,Mount Lebanon,Land,1040,0,0,200000,33.9808,35.6856
Beit Meri,El Metn,Mount Lebanon,Apartment,180,3,3,235000,33.9006,35.6178
Deir Al Qamar,Chouf,Mount Lebanon,Land,1100,0,0,230000,33.6947,35.5792
