Address,Price $,Size m²,Bedrooms,Bathrooms,Furnished
"Achrafieh, Beirut, Beirut",300000,150,2,2,yes
"Ain Saadeh, El Metn, Mount Lebanon",380000,245,3,5,yes
"Hazmieh, Baabda, Mount Lebanon",600000,300,4,5,no
"Naqqache, El Metn, Mount Lebanon",210000,140,3,4,no
"Yarzeh, Baabda, Mount Lebanon",930000,270,3,4,no
"Zouk El Kharab, El Metn, Mount Lebanon",450000,1645,N/A,N/A,no
"Jamhour, Baabda, Mount Lebanon",500000,320,4,5,yes
"Jamhour, Baabda, Mount Lebanon",600000,310,4,5,no
"Ain Saadeh, El Metn, Mount Lebanon",420000,190,3,4,yes
"Beit el Chaar, El Metn, Mount Lebanon",168000,150,3,3,no
"Jeddayel, Jbeil, Mount Lebanon",220000,245,3,3,no
"Sarba (Kesrouane), Kesrouane, Mount Lebanon",175000,145,2,3,partly
"Jnah, Beirut, Beirut",650000,265,3,4,yes
"Down Town, Beirut, Beirut",1200000,185,3,4,yes
"Hazmieh, Baabda, Mount Lebanon",325000,180,3,3,no
"Dik El Mehdi, El Metn, Mount Lebanon",165000,324,4,5,no
"Fanar, El Metn, Mount Lebanon",215000,155,2,3,no
"Rabieh, El Metn, Mount Lebanon",800000,530,5,4,no
"Mansourieh, El Metn, Mount Lebanon",350000,285,3,4,no
"Daroun Harissa, Kesrouane, Mount Lebanon",250000,165,3,4,no
"Kornet Chehwan, El Metn, Mount Lebanon",325000,220,3,5,no
"Achrafieh, Beirut, Beirut",1800000,500,4,5,no
"Baabda, Baabda, Mount Lebanon",460000,250,3,3,no
"Achrafieh, Beirut, Beirut",130000,110,2,1,no
"Zandouqah, El Metn, Mount Lebanon",150000,150,3,3,no
"Achrafieh, Beirut, Beirut",600000,240,3,2,no
"Down Town, Beirut, Beirut",1800000,150,1,2,yes
"Down Town, Beirut, Beirut",3500000,550,4,5,no
"Mtayleb, El Metn, Mount Lebanon",700000,250,4,5,no
"Down Town, Beirut, Beirut",1200000,205,2,4,no
"Sehayleh, Kesrouane, Mount Lebanon",105000,142,3,2,no
"Achrafieh, Beirut, Beirut",350000,85,2,2,partly
"Achrafieh, Beirut, Beirut",240000,150,2,2,no
"Jal el Dib, El Metn, Mount Lebanon",190000,130,2,2,no
"Baabda, Baabda, Mount Lebanon",500000,200,3,4,no
"Beit Meri, El Metn, Mount Lebanon",500000,469,5,3,no
"Douar, El Metn, Mount Lebanon",180000,220,4,4,no
"ain al-tineh, Beirut, Beirut",330000,120,2,3,yes
"Al Nakhle, Koura, North",105000,129,3,2,no
"Al Nakhle, Koura, North",110000,119,3,3,no
"Mar Elias, Beirut, Beirut",300000,200,3,2,yes
"Achrafieh, Beirut, Beirut",690000,300,3,3,no
"Achrafieh, Beirut, Beirut",2200000,450,4,6,no
"Bsalim, El Metn, Mount Lebanon",260000,150,3,4,no
"Aamchit, Jbeil, Mount Lebanon",69000,150,3,2,no
"Naqqache, El Metn, Mount Lebanon",490000,260,4,4,no
"Achrafieh, Beirut, Beirut",750000,236,3,3,no
"Achrafieh, Beirut, Beirut",1100000,270,3,3,yes
